FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
2370,20,USA                 ,1421,0,
66999,42,USA                 ,10259,0,
83270,43,USA                 ,1420,0,
83304,23,USA                 ,1422,0,
51467,24,USA                 ,10251,3,
132606,16,USA                 ,64,7,
84410,30,USA                 ,1126,10,
86208,27,USA                 ,59,40,
84157,21,USA                 ,1059,77,
77676,31,USA                 ,10227,86,
83707,25,USA                 ,1122,115,
83969,32,USA                 ,1105,220,
82576,19,USA                 ,662,253,
25687,13,USA                 ,10090,336,
86537,3,USA                 ,563,351,
82910,38,USA                 ,1337,352,
162016,25,USA                 ,27,376,
83929,42,USA                 ,1370,511,
166332,31,USA                 ,753,649,
83181,14,USA                 ,672,649,
83714,26,USA                 ,66,756,
83825,20,USA                 ,741,757,
86263,18,USA                 ,1203,764,
2561,50,USA                 ,10448,813,
66259,12,USA                 ,10036,967,
82575,8,USA                 ,287,1001,
66257,13,USA                 ,10061,1545,
48412,30,USA                 ,10032,1695,
162115,19,USA                 ,581,1817,
82611,26,USA                 ,94,1892,
86532,35,USA                 ,825,2280,
169030,16,USA                 ,124,2582,
51489,17,USA                 ,10188,2768,
82615,24,USA                 ,23,2992,
82574,7,USA                 ,868,3017,
166511,27,USA                 ,103,3307,
169028,21,USA                 ,54,3411,
83715,31,USA                 ,897,3571,
83945,42,USA                 ,1316,3899,
83965,9,USA                 ,1321,4124,
58571,34,USA                 ,10349,4146,
18745,14,USA                 ,10189,4148,
159007,31,USA                 ,68,4298,
58568,44,USA                 ,10347,4569,
82698,11,USA                 ,67,4846,
23179,36,USA                 ,10145,5510,
166534,51,USA                 ,156,5719,
59257,27,USA                 ,10023,5826,
60795,30,USA                 ,10250,6025,
47070,25,USA                 ,10211,7109,
48413,17,USA                 ,10056,7190,
92872,10,USA                 ,1071,7436,
60519,7,USA                 ,13,8753,
86534,49,USA                 ,1070,9250,
35913,40,USA                 ,10406,9777,
84453,51,USA                 ,494,9999,
40211,44,USA                 ,10271,10257,
35916,31,USA                 ,10378,10563,
57908,24,USA                 ,10181,10862,
21612,9,USA                 ,375,10876,
27501,4,USA                 ,10225,10917,
3113,17,USA                 ,1419,10974,
51373,30,USA                 ,10420,11065,
5237,3,USA                 ,87,11826,
55315,17,USA                 ,10176,12180,
67140,48,USA                 ,10366,12454,
85102,10,USA                 ,925,12463,
83735,43,USA                 ,1079,13331,
24287,5,USA                 ,58,14061,
84224,20,USA                 ,745,14146,
53545,35,USA                 ,10348,15398,
60520,13,USA                 ,14,15449,
86496,46,USA                 ,143,15458,
82613,33,USA                 ,746,15472,
84214,34,USA                 ,1007,15560,
82585,18,USA                 ,743,15671,
8170,13,USA                 ,10382,15796,
83946,49,USA                 ,1076,16253,
35923,44,USA                 ,10371,16688,
83310,45,USA                 ,1077,16746,
36625,5,USA                 ,10191,17726,
84225,46,USA                 ,900,18192,
53315,20,USA                 ,96,18300,
56971,14,USA                 ,10013,18725,
61071,13,USA                 ,128,18785,
28212,18,USA                 ,10035,18879,
64078,14,USA                 ,10031,19325,
82627,46,USA                 ,246,19354,
83992,13,USA                 ,757,19699,
8500,4,USA                 ,10197,20172,
35283,23,USA                 ,10320,21395,
77515,40,USA                 ,186,22625,
29455,39,USA                 ,10146,24049,
86204,31,USA                 ,142,24432,
84215,8,USA                 ,891,24459,
136750,47,USA                 ,1031,25950,
23487,35,USA                 ,10394,25990,
21163,13,USA                 ,10087,26077,
49285,11,USA                 ,10086,26436,
4349,8,USA                 ,10340,27215,
83740,23,USA                 ,1270,27296,
56171,36,USA                 ,10288,28709,
20373,10,USA                 ,479,29379,
55362,12,USA                 ,28,29689,
46753,45,USA                 ,10063,29940,
34341,13,USA                 ,10053,29992,
13814,11,USA                 ,11,30020,
39649,10,USA                 ,149,30075,
17679,6,USA                 ,10026,30314,
8651,10,USA                 ,12,30717,
77452,17,USA                 ,1128,30816,
55684,19,USA                 ,89,30948,
30932,45,USA                 ,10289,31106,
83306,30,USA                 ,274,31409,
61062,8,USA                 ,212,31470,
10869,25,USA                 ,10073,31526,
17685,2,USA                 ,10084,31749,
84253,41,USA                 ,1155,31862,
27496,41,USA                 ,10231,32582,
87,34,USA                 ,10210,32754,
63162,7,USA                 ,285,32769,
83943,25,USA                 ,1265,33210,
61063,11,USA                 ,129,33481,
41430,7,USA                 ,88,33600,
168339,27,USA                 ,10085,33933,
71125,36,USA                 ,10202,34049,
4352,36,USA                 ,10457,34230,
55683,14,USA                 ,20,34561,
10036,8,USA                 ,286,35035,
9382,48,USA                 ,10095,35578,
64400,46,USA                 ,10270,35907,
35912,45,USA                 ,10376,36136,
47971,12,USA                 ,289,36484,
63845,10,USA                 ,473,36701,
65523,17,USA                 ,580,37230,
83913,51,USA                 ,1143,37280,
58559,17,USA                 ,10368,37393,
41429,8,USA                 ,21,38375,
24218,22,USA                 ,10410,38727,
68663,22,USA                 ,10238,38744,
56172,25,USA                 ,10249,39227,
68905,34,USA                 ,10297,41162,
166319,49,USA                 ,760,41457,
58607,9,USA                 ,10240,41536,
136749,34,USA                 ,1160,41741,
79258,21,USA                 ,748,41882,
53329,9,USA                 ,89,42131,
38585,23,USA                 ,10321,42179,
48660,19,USA                 ,166,42731,
82735,24,USA                 ,1283,42889,
70287,44,USA                 ,1418,42918,
82619,34,USA                 ,394,43777,
63170,13,USA                 ,374,44138,
36317,25,USA                 ,10290,45116,
36318,27,USA                 ,10290,45194,
664,25,USA                 ,1389,45471,
27387,8,USA                 ,1379,45486,
81447,16,USA                 ,120,46048,
10204,17,USA                 ,10443,46077,
47981,7,USA                 ,290,46605,
51886,27,USA                 ,10177,46724,
55364,7,USA                 ,95,46738,
42008,33,USA                 ,1127,46812,
125710,18,USA                 ,1297,46927,
72362,12,USA                 ,582,48414,
1283,2,USA                 ,210,49209,
51469,26,USA                 ,10292,49305,
21613,10,USA                 ,211,49799,
41964,13,USA                 ,214,49877,
63182,29,USA                 ,379,50429,
53318,11,USA                 ,20,50718,
68136,47,USA                 ,10102,51236,
57368,48,USA                 ,10020,51909,
17680,13,USA                 ,158,52853,
66416,10,USA                 ,579,52961,
50592,13,USA                 ,121,53440,
16743,28,USA                 ,10051,53574,
34342,12,USA                 ,10052,53627,
70579,13,USA                 ,663,53962,
37444,42,USA                 ,10011,54191,
84802,29,USA                 ,1165,54670,
72053,3,USA                 ,1378,55555,
64339,19,USA                 ,10328,55654,
76001,5,USA                 ,69,56026,
55762,28,USA                 ,1295,56391,
41125,10,USA                 ,10280,58082,
25769,12,USA                 ,10224,58333,
41126,17,USA                 ,10280,58502,
2711,22,USA                 ,10028,58858,
5906,36,USA                 ,10010,58960,
51374,20,USA                 ,10436,59486,
53911,10,USA                 ,1119,60584,
61064,17,USA                 ,130,60999,
24574,22,USA                 ,10057,61637,
53539,27,USA                 ,1058,61820,
298,7,USA                 ,10350,61915,
14674,19,USA                 ,85,61917,
5914,31,USA                 ,10009,62366,
60740,29,USA                 ,277,62606,
61335,33,USA                 ,277,63524,
35921,40,USA                 ,10405,63722,
48305,8,USA                 ,113,64085,
34846,22,USA                 ,1391,65299,
35183,22,USA                 ,198,65742,
15567,16,USA                 ,10074,66319,
5011,47,USA                 ,10058,67452,
8843,19,USA                 ,10363,67495,
32621,18,USA                 ,1325,68543,
39662,10,USA                 ,112,68756,
22127,14,USA                 ,24,69292,
69693,3,USA                 ,10083,69665,
70097,28,USA                 ,10268,69956,
68713,12,USA                 ,288,70277,
53313,40,USA                 ,25,70369,
84088,23,USA                 ,193,70430,
81448,19,USA                 ,105,70650,
18286,17,USA                 ,287,70708,
74256,20,USA                 ,287,70745,
63177,14,USA                 ,287,70825,
48763,13,USA                 ,10395,71180,
68409,35,USA                 ,10158,72122,
49750,11,USA                 ,199,72642,
17399,33,USA                 ,10015,72943,
18083,42,USA                 ,10016,73140,
41493,49,USA                 ,10054,73422,
28501,12,USA                 ,167,75121,
27431,29,USA                 ,1123,75424,
257,45,USA                 ,10159,75992,
36914,9,USA                 ,1390,76535,
64544,13,USA                 ,1390,76717,
35187,45,USA                 ,201,76859,
41425,10,USA                 ,22,77149,
37103,23,USA                 ,1390,77552,
4146,11,USA                 ,1390,77879,
81445,18,USA                 ,993,78409,
57905,10,USA                 ,10180,78487,
13792,45,USA                 ,52,78968,
60683,8,USA                 ,747,80228,
18338,32,USA                 ,994,81237,
30461,48,USA                 ,10001,81590,
30462,50,USA                 ,10001,81590,
39284,46,USA                 ,10001,81591,
9099,36,USA                 ,10001,81729,
39281,38,USA                 ,10001,81729,
39282,42,USA                 ,10001,81729,
39283,44,USA                 ,10001,81729,
39285,40,USA                 ,10001,81729,
9100,34,USA                 ,10001,81769,
9098,30,USA                 ,10001,81770,
70578,23,USA                 ,570,82451,
68135,35,USA                 ,10132,82579,
10537,7,USA                 ,10239,82636,
21254,35,USA                 ,146,82687,
64596,13,USA                 ,10002,82742,
13813,18,USA                 ,3,83621,
68666,17,USA                 ,10238,83684,
49621,26,USA                 ,1,83783,
20015,20,USA                 ,1,83835,
64597,7,USA                 ,2,83871,
61066,10,USA                 ,213,83933,
47973,9,USA                 ,383,83933,
8284,13,USA                 ,278,84210,
34243,43,USA                 ,10221,84409,
69315,9,USA                 ,4,84416,
33756,13,USA                 ,122,84443,
43567,8,USA                 ,122,84798,
53908,19,USA                 ,1121,85070,
35822,9,USA                 ,744,85349,
40450,12,USA                 ,995,86483,
71072,16,USA                 ,10015,86646,
