FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,COUNTY,STATE,LOCATION_TYPE,LATITUDE,LONGITUDE,COORD_RADIUS,END_OF_LINE                                                                                            
     999101,     30153,WIJ783              ,         19,YK   ,MONMOUTH                                          ,NJ                                                ,F    ,40.2037222,74.2704167,            ,;              
     999102,     30143,WIJ783              ,         19,YK   ,MONMOUTH                                          ,NJ                                                ,F    ,40.3959444,74.1745833,            ,;              
     999105,     30153,WIJ783              ,         20,YK   ,MONMOUTH                                          ,NJ                                                ,F    ,40.2037222,74.2704167,            ,;              
     999106,     30143,WIJ783              ,         20,YK   ,MONMOUTH                                          ,NJ                                                ,F    ,40.3959444,74.1745833,            ,;              
     999109,     30123,WIK355              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5692778,    74.611,            ,;              
     999111,     30111,WIK841              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,   40.6215,74.5037778,            ,;              
     999112,     30120,WIK841              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5848333,74.4926667,            ,;              
     999113,     30106,WIK841              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,40.6467778,74.5696111,            ,;              
     999114,     30100,WIK841              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,40.6517778,74.4762778,            ,;              
     999115,     30107,WIK841              ,         19,PW   ,SOMERSET                                          ,NJ                                                ,F    ,40.6456667,74.5243333,            ,;              
     999117,     30072,WIL429              ,         19,YW   ,ESSEX                                             ,NJ                                                ,F    ,40.8361111,74.2188889,            ,;              
     999118,     30077,WIL429              ,         19,YW   ,ESSEX                                             ,NJ                                                ,F    ,40.8166667,74.2213889,            ,;              
     999120,     30072,WIL429              ,         20,YW   ,ESSEX                                             ,NJ                                                ,F    ,40.8361111,74.2188889,            ,;              
     999121,     30077,WIL429              ,         20,YW   ,ESSEX                                             ,NJ                                                ,F    ,40.8166667,74.2213889,            ,;              
     999123,     30265,WIL552              ,         15,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.9736111,    74.195,            ,;              
     999124,     30271,WIL552              ,         15,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.6020556,74.3448611,            ,;              
     999125,     30157,WIL552              ,         15,YW   ,OCEAN                                             ,NJ                                                ,F    ,40.0828889,74.4829167,            ,;              
     999126,     30156,WIL552              ,         15,YW   ,OCEAN                                             ,NJ                                                ,F    ,40.1021944,  74.16075,            ,;              
     999128,     30265,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.9736111,    74.195,            ,;              
     999129,     30270,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.7556667,  74.23125,            ,;              
     999130,     30271,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.6020556,74.3448611,            ,;              
     999131,     30157,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,40.0828889,74.4829167,            ,;              
     999132,     30156,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,40.1021944,  74.16075,            ,;              
     999133,     30266,WIL552              ,         20,YW   ,OCEAN                                             ,NJ                                                ,F    ,39.9528889,74.1940278,            ,;              
     999135,     30060,WIL599              ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9631667,74.2559722,            ,;              
     999136,     30062,WIL599              ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9292778,74.2301389,            ,;              
     999138,     30063,WIL636              ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9062222,74.1768056,            ,;              
     999139,     30064,WIL636              ,         19,PW   ,PASSAIC                                           ,NJ                                                ,F    ,40.9117778,74.1568056,            ,;              
     999141,     30082,WIL676              ,         19,PW   ,HUDSON                                            ,NJ                                                ,F    ,40.7645556,74.1479167,            ,;              
     999143,     30087,WIL676              ,         19,PW   ,HUDSON                                            ,NJ                                                ,F    ,40.7262778,  74.11025,            ,;              
     999144,     30148,WIL678              ,         19,PW   ,MONMOUTH                                          ,NJ                                                ,F    ,40.2642778,74.2781944,            ,;              
     999145,     30149,WIL678              ,         19,PW   ,MONMOUTH                                          ,NJ                                                ,F    ,40.2642778,74.2779167,            ,;              
     999147,     30121,WIL720              ,         19,PW   ,MIDDLESEX                                         ,NJ                                                ,F    ,    40.584,74.4173611,            ,;              
     999148,     30125,WIL720              ,         19,PW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5820556,74.4131944,            ,;              
     999150,     30074,WIL791              ,         19,PW   ,BERGEN                                            ,NJ                                                ,F    ,40.8342778,74.0515278,            ,;              
     999152,     30098,WIL797              ,         19,PW   ,UNION                                             ,NJ                                                ,F    ,40.6826111,  74.40625,            ,;              
     999154,     30164,WIL824              ,         19,PW   ,BERGEN                                            ,NJ                                                ,F    ,40.8242778,73.9884722,            ,;              
     999156,     30131,WIL900              ,         14,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5317778,74.6326667,            ,;              
     999157,     30137,WIL900              ,         14,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.4708333,74.7277778,            ,;              
     999158,     30089,WIL900              ,         14,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.7023611,74.5816667,            ,;              
     999159,     30114,WIL900              ,         14,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.6114167,74.5697222,            ,;              
     999161,     30124,WIL900              ,         14,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5691667,74.6111111,            ,;              
     999162,     30131,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5317778,74.6326667,            ,;              
     999163,     30137,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.4708333,74.7277778,            ,;              
     999164,     30089,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.7023611,74.5816667,            ,;              
     999165,     30114,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.6114167,74.5697222,            ,;              
     999166,     30115,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,    40.604,   74.4885,            ,;              
     999168,     30124,WIL900              ,         19,YW   ,SOMERSET                                          ,NJ                                                ,F    ,40.5691667,74.6111111,            ,;              
     999169,     30081,WIL924              ,         19,PW   ,ESSEX                                             ,NJ                                                ,F    ,40.7667778,74.2329167,            ,;              
     999170,     30080,WIL924              ,         19,PW   ,ESSEX                                             ,NJ                                                ,F    ,40.7681667,74.2351389,            ,;              
     999173,     30071,WIL942              ,         19,PW   ,BERGEN                                            ,NJ                                                ,F    ,40.8592778,74.0245833,            ,;              
     999175,     30118,WIL967              ,         19,PW   ,UNION                                             ,NJ                                                ,F    ,40.6042778,74.2745833,            ,;              
     999177,     30134,WIM222              ,         19,PW   ,MIDDLESEX                                         ,NJ                                                ,F    ,40.5070556,74.2640278,            ,;              
     999179,     30099,WIM531              ,         19,PW   ,UNION                                             ,NJ                                                ,F    ,40.6709444,74.2195833,            ,;              
     999180,     30103,WIM531              ,         19,PW   ,UNION                                             ,NJ                                                ,F    ,40.6620556,74.2156944,            ,;              
     999182,     30146,WIM583              ,         19,PW   ,MONMOUTH                                          ,NJ                                                ,F    ,40.3317778,74.2298611,            ,;              
