XOR_PAIR_KEY,XOR_PAIR_ID,TOWER_A_ID,TOWER_B_ID,EXCEPTION_FLAG,FACILITY_A_ID,FACILITY_B_ID,CHANNEL_NUM,END_OF_LINE
4,51706,193,20002,N,,,,;
4,51707,244,20001,N,,,,;
4,51708,233,20003,N,,,,;
4,51709,234,20003,N,,,,;
4,51710,313,20001,N,,,,;
4,51711,332,20005,N,,,,;
4,51712,314,20001,N,,,,;
4,51713,318,20001,N,,,,;
4,51714,265,20002,N,,,,;
4,51715,321,20004,N,,,,;
4,51716,306,20003,N,,,,;
4,51717,329,20005,N,,,,;
4,51718,269,20002,N,,,,;
4,51719,310,20003,N,,,,;
4,51720,369,20002,N,,,,;
4,51721,360,20002,N,,,,;
4,51722,425,20001,N,,,,;
4,51723,429,20005,N,,,,;
4,51724,427,20001,N,,,,;
4,51725,361,20002,N,,,,;
4,51726,428,20004,N,,,,;
4,51727,414,20003,N,,,,;
4,51728,363,20002,N,,,,;
4,51729,403,20003,N,,,,;
4,51730,419,20001,N,,,,;
4,51731,421,20001,N,,,,;
4,51732,421,20004,N,,,,;
4,51733,445,20006,N,,,,;
4,51734,461,20006,N,,,,;
4,51735,440,20005,N,,,,;
4,51736,431,20004,N,,,,;
4,51737,453,20002,N,,,,;
4,51738,441,20001,N,,,,;
4,51739,455,20006,N,,,,;
4,51740,450,20006,N,,,,;
4,51741,450,20007,N,,,,;
4,51742,443,20007,N,,,,;
4,51743,457,20006,N,,,,;
4,51744,452,20007,N,,,,;
4,51745,502,20003,N,,,,;
4,51746,503,20003,N,,,,;
4,51747,505,20003,N,,,,;
4,51748,518,20004,N,,,,;
4,51749,534,20007,N,,,,;
4,51750,510,20004,N,,,,;
4,51751,514,20005,N,,,,;
4,51752,500,20003,N,,,,;
4,51753,516,20005,N,,,,;
4,51754,540,20006,N,,,,;
4,51755,555,20009,N,,,,;
4,51756,541,20008,N,,,,;
4,51757,548,20007,N,,,,;
4,51758,538,20006,N,,,,;
4,51759,545,20006,N,,,,;
4,51760,604,20003,N,,,,;
4,51761,546,20006,N,,,,;
4,51762,644,20008,N,,,,;
4,51763,653,20006,N,,,,;
4,51764,657,20009,N,,,,;
4,51765,640,20005,N,,,,;
4,51766,632,20004,N,,,,;
4,51767,642,20005,N,,,,;
4,51768,642,20008,N,,,,;
4,51769,716,20007,N,,,,;
4,51770,809,20008,N,,,,;
4,51771,869,20008,N,,,,;
4,51772,985,20010,N,,,,;
4,51773,998,20011,N,,,,;
4,51774,1144,20011,N,,,,;
4,51775,1067,20011,N,,,,;
4,51776,1108,20010,N,,,,;
4,51777,1138,20011,N,,,,;
4,51778,1240,20011,N,,,,;
4,51779,1213,20012,N,,,,;
4,51780,1370,20013,N,,,,;
4,51781,1374,20013,N,,,,;
4,51782,1375,20013,N,,,,;
4,51783,240,20003,N,,,,;
4,51784,241,20001,Y,21737,999009,16,;
4,51785,242,20001,N,,,,;
4,51786,247,20001,N,,,,;
4,51787,248,20001,N,,,,;
4,51788,266,20002,N,,,,;
4,51789,323,20004,N,,,,;
4,51790,311,20001,N,,,,;
4,51791,312,20001,N,,,,;
4,51792,331,20005,N,,,,;
4,51793,352,20006,N,,,,;
4,51794,353,20007,N,,,,;
4,51795,423,20001,N,,,,;
4,51796,361,20006,N,,,,;
4,51797,402,20003,N,,,,;
4,51798,368,20002,N,,,,;
4,51799,461,20007,N,,,,;
4,51800,463,20002,N,,,,;
4,51801,431,20005,N,,,,;
4,51802,441,20005,N,,,,;
4,51803,455,20002,N,,,,;
4,51804,435,20001,N,,,,;
4,51805,436,20001,N,,,,;
4,51806,437,20004,N,,,,;
4,51807,458,20002,N,,,,;
4,51808,517,20004,N,,,,;
4,51809,517,20005,N,,,,;
4,51810,504,20003,N,,,,;
4,51811,531,20006,N,,,,;
4,51812,532,20008,N,,,,;
4,51813,521,20005,N,,,,;
4,51814,510,20001,N,,,,;
4,51815,522,20004,N,,,,;
4,51816,528,20008,N,,,,;
4,51817,512,20001,N,,,,;
4,51818,513,20005,N,,,,;
4,51819,499,20003,N,,,,;
4,51820,515,20004,N,,,,;
4,51821,515,20005,N,,,,;
4,51822,535,20006,N,,,,;
4,51823,541,20006,N,,,,;
4,51824,537,20008,N,,,,;
4,51825,543,20008,N,,,,;
4,51826,538,20008,N,,,,;
4,51827,539,20007,N,,,,;
4,51828,552,20002,N,,,,;
4,51829,645,20007,N,,,,;
4,51830,646,20007,N,,,,;
4,51831,647,20008,N,,,,;
4,51832,655,20009,N,,,,;
4,51833,658,20009,N,,,,;
4,51834,630,20004,Y,50781,999005,14,;
4,51835,633,20005,N,,,,;
4,51836,651,20008,N,,,,;
4,51837,652,20007,N,,,,;
4,51838,717,20008,N,,,,;
4,51839,722,20007,N,,,,;
4,51840,715,20007,N,,,,;
4,51841,808,20008,N,,,,;
4,51842,804,20008,N,,,,;
4,51843,805,20008,N,,,,;
4,51844,981,20010,N,,,,;
4,51845,982,20010,N,,,,;
4,51846,971,20010,N,,,,;
4,51847,997,20011,N,,,,;
4,51848,980,20010,N,,,,;
4,51849,1141,20011,N,,,,;
4,51850,1042,20010,N,,,,;
4,51851,1107,20010,N,,,,;
4,51852,1133,20011,N,,,,;
4,51853,1139,20011,N,,,,;
4,51854,1234,20011,N,,,,;
4,51855,1236,20012,N,,,,;
4,51856,1238,20012,N,,,,;
4,51857,1239,20012,N,,,,;
4,51858,1244,20012,N,,,,;
4,51859,1210,20011,N,,,,;
4,51860,1211,20012,N,,,,;
4,51861,1212,20011,N,,,,;
4,51862,1367,20013,N,,,,;
4,51863,1368,20013,N,,,,;
4,51864,1306,20012,N,,,,;
4,51865,1307,20012,N,,,,;
4,51866,1351,20013,N,,,,;
4,51867,237,20003,N,,,,;
4,51868,326,20001,N,,,,;
4,51869,332,20001,N,,,,;
4,51870,314,20003,N,,,,;
4,51871,267,20002,N,,,,;
4,51872,329,20004,N,,,,;
4,51873,307,20003,N,,,,;
4,51874,309,20003,N,,,,;
4,51875,330,20005,N,,,,;
4,51876,324,20001,N,,,,;
4,51877,331,20001,N,,,,;
4,51878,331,20004,N,,,,;
4,51879,370,20002,N,,,,;
4,51880,429,20004,N,,,,;
4,51881,362,20002,N,,,,;
4,51882,415,20001,N,,,,;
4,51883,367,20002,N,,,,;
4,51884,445,20007,N,,,,;
4,51885,440,20001,N,,,,;
4,51886,453,20007,N,,,,;
4,51887,432,20001,Y,59441,999008,15,;
4,51888,448,20006,N,,,,;
4,51889,454,20002,N,,,,;
4,51890,434,20001,N,,,,;
4,51891,434,20004,N,,,,;
4,51892,434,20005,N,,,,;
4,51893,435,20005,N,,,,;
4,51894,456,20002,N,,,,;
4,51895,457,20002,N,,,,;
4,51896,444,20006,N,,,,;
4,51897,438,20001,N,,,,;
4,51898,438,20005,N,,,,;
4,51899,452,20002,N,,,,;
4,51900,459,20007,N,,,,;
4,51901,526,20005,N,,,,;
4,51902,526,20008,N,,,,;
4,51903,521,20004,N,,,,;
4,51904,511,20004,N,,,,;
4,51905,522,20005,N,,,,;
4,51906,498,20003,N,,,,;
4,51907,524,20005,N,,,,;
4,51908,516,20001,N,,,,;
4,51909,553,20009,N,,,,;
4,51910,535,20007,N,,,,;
4,51911,537,20006,N,,,,;
4,51912,544,20007,N,,,,;
4,51913,539,20008,N,,,,;
4,51914,551,20002,N,,,,;
4,51915,551,20007,N,,,,;
4,51916,638,20005,N,,,,;
4,51917,639,20005,N,,,,;
4,51918,648,20007,N,,,,;
4,51919,641,20005,N,,,,;
4,51920,633,20004,N,,,,;
4,51921,651,20006,N,,,,;
4,51922,651,20007,N,,,,;
4,51923,634,20004,N,,,,;
4,51924,716,20008,N,,,,;
4,51925,720,20008,N,,,,;
4,51926,714,20005,N,,,,;
4,51927,714,20008,N,,,,;
4,51928,723,20007,N,,,,;
4,51929,723,20008,N,,,,;
4,51930,877,20010,N,,,,;
4,51931,814,20009,N,,,,;
4,51932,969,20010,N,,,,;
4,51933,977,20010,N,,,,;
4,51934,1068,20011,N,,,,;
4,51935,1246,20012,N,,,,;
4,51936,1248,20012,N,,,,;
4,51937,1237,20012,N,,,,;
4,51938,1207,20011,N,,,,;
4,51939,1364,20013,N,,,,;
4,51940,1379,20013,N,,,,;
4,51941,1309,20012,N,,,,;
4,51942,263,20002,N,,,,;
4,51943,245,20001,Y,16530,999008,15,;
4,51944,332,20004,N,,,,;
4,51945,320,20001,N,,,,;
4,51946,304,20003,N,,,,;
4,51947,328,20001,N,,,,;
4,51948,309,20001,N,,,,;
4,51949,323,20001,N,,,,;
4,51950,330,20004,N,,,,;
4,51951,351,20007,N,,,,;
4,51952,424,20004,N,,,,;
4,51953,426,20001,N,,,,;
4,51954,428,20005,N,,,,;
4,51955,417,20001,N,,,,;
4,51956,420,20003,N,,,,;
4,51957,406,20003,N,,,,;
4,51958,407,20003,N,,,,;
4,51959,359,20002,N,,,,;
4,51960,439,20001,N,,,,;
4,51961,446,20007,N,,,,;
4,51962,462,20002,N,,,,;
4,51963,430,20001,N,,,,;
4,51964,464,20002,N,,,,;
4,51965,440,20004,N,,,,;
4,51966,466,20002,N,,,,;
4,51967,433,20001,N,,,,;
4,51968,433,20004,N,,,,;
4,51969,449,20006,N,,,,;
4,51970,436,20005,N,,,,;
4,51971,437,20001,N,,,,;
4,51972,437,20005,N,,,,;
4,51973,520,20004,N,,,,;
4,51974,508,20003,N,,,,;
4,51975,528,20005,N,,,,;
4,51976,512,20004,N,,,,;
4,51977,525,20004,N,,,,;
4,51978,542,20007,N,,,,;
4,51979,542,20008,N,,,,;
4,51980,539,20006,N,,,,;
4,51981,654,20009,N,,,,;
4,51982,660,20009,N,,,,;
4,51983,650,20008,N,,,,;
4,51984,635,20005,N,,,,;
4,51985,724,20007,N,,,,;
4,51986,728,20009,N,,,,;
4,51987,730,20009,N,,,,;
4,51988,720,20007,N,,,,;
4,51989,713,20005,N,,,,;
4,51990,721,20007,N,,,,;
4,51991,870,20008,N,,,,;
4,51992,984,20010,N,,,,;
4,51993,967,20010,N,,,,;
4,51994,970,20010,N,,,,;
4,51995,972,20010,N,,,,;
4,51996,973,20010,N,,,,;
4,51997,999,20011,N,,,,;
4,51998,1140,20011,N,,,,;
4,51999,1109,20010,N,,,,;
4,52000,1137,20011,N,,,,;
4,52001,1241,20011,N,,,,;
4,52002,1241,20012,N,,,,;
4,52003,1361,20013,N,,,,;
4,52004,1373,20013,N,,,,;
4,52005,230,20003,N,,,,;
4,52006,231,20003,N,,,,;
