FACILITY_ID,FAC_CHANNEL,PSA_FACILITY_ID,ADJ_CHANNEL_MINUS_1_OK,CO_CHANNEL_OK,ADJ_CHANNEL_PLUS_1_OK,END_OF_LINE
282,49,97946,Y,N,Y,;
282,22,187094,Y,N,Y,;
282,23,97644,Y,N,Y,;
282,32,187086,Y,N,Y,;
282,28,164333,Y,N,Y,;
282,23,164332,Y,N,Y,;
282,32,138250,Y,N,Y,;
282,47,164337,Y,N,Y,;
282,41,162046,Y,N,Y,;
282,12,97215,Y,N,Y,;
282,6,97275,Y,N,Y,;
282,34,179038,Y,N,Y,;
282,46,159098,Y,N,Y,;
282,21,185686,Y,N,Y,;
282,33,98247,Y,N,Y,;
282,21,97748,Y,N,Y,;
282,27,98013,Y,N,Y,;
282,33,178637,Y,N,Y,;
282,3,97933,Y,N,Y,;
282,21,137363,Y,N,Y,;
282,27,137364,Y,N,Y,;
282,45,96872,Y,N,Y,;
282,49,170449,Y,N,Y,;
282,29,183695,Y,N,Y,;
282,28,165815,Y,N,Y,;
282,22,168955,Y,N,Y,;
282,44,179039,Y,N,Y,;
749,6,98662,Y,N,Y,;
749,21,97753,Y,N,Y,;
749,33,98248,Y,N,Y,;
749,22,177938,Y,N,Y,;
749,51,98690,Y,N,Y,;
749,45,96874,Y,N,Y,;
749,46,96904,Y,N,Y,;
749,3,98435,Y,N,Y,;
749,7,98261,Y,N,Y,;
749,11,97138,Y,N,Y,;
749,2,98369,Y,N,Y,;
749,28,98064,Y,N,Y,;
2561,8,97000,Y,Y,N,;
2561,10,97000,N,Y,Y,;
2561,3,98208,N,Y,Y,;
2561,10,98015,Y,Y,N,;
2561,12,98015,N,Y,Y,;
2561,6,97867,Y,Y,N,;
2561,8,97867,N,Y,Y,;
2561,11,97257,Y,Y,N,;
2561,13,97257,N,Y,Y,;
2561,13,97394,Y,Y,N,;
2561,8,106130,Y,Y,N,;
2561,10,106130,N,Y,Y,;
2561,6,178642,Y,Y,N,;
2561,8,178642,N,Y,Y,;
2561,8,97223,Y,Y,N,;
2561,10,97223,N,Y,Y,;
2561,11,98413,Y,Y,N,;
2561,13,98413,N,Y,Y,;
2561,3,189811,N,Y,Y,;
2561,41,98685,Y,Y,N,;
2561,43,98685,N,Y,Y,;
2561,35,98388,Y,Y,N,;
2561,37,98388,N,Y,Y,;
2561,15,97394,N,Y,Y,;
2561,16,97564,Y,Y,N,;
2561,18,97564,N,Y,Y,;
2561,25,98559,Y,Y,N,;
2561,27,98559,N,Y,Y,;
2561,2,189811,Y,N,Y,;
2561,2,98561,Y,N,Y,;
2561,33,98248,Y,N,Y,;
2561,21,97753,Y,N,Y,;
2561,38,187227,Y,N,Y,;
2561,42,98685,Y,N,Y,;
2561,18,97617,Y,N,Y,;
2561,24,97891,Y,N,Y,;
2561,37,98390,Y,N,Y,;
2561,36,98388,Y,N,Y,;
2561,14,97394,Y,N,Y,;
2561,17,97564,Y,N,Y,;
2561,45,96874,Y,N,Y,;
2561,32,98205,Y,N,Y,;
2561,38,98454,Y,N,Y,;
2561,26,98559,Y,N,Y,;
2561,19,97668,Y,N,Y,;
2561,25,97929,Y,N,Y,;
2561,15,165460,Y,Y,N,;
2561,17,165460,N,Y,Y,;
2561,18,165462,Y,Y,N,;
2561,20,165462,N,Y,Y,;
2561,17,165461,Y,Y,N,;
2561,19,165461,N,Y,Y,;
2561,35,164548,Y,Y,N,;
2561,37,164548,N,Y,Y,;
2561,51,164546,Y,Y,N,;
2561,29,164528,Y,Y,N,;
2561,31,164528,N,Y,Y,;
2561,40,179079,Y,Y,N,;
2561,42,179079,N,Y,Y,;
2561,32,164529,Y,Y,N,;
2561,34,164529,N,Y,Y,;
2561,50,164531,Y,Y,N,;
2561,25,180803,Y,Y,N,;
2561,27,180803,N,Y,Y,;
2561,50,178635,Y,Y,N,;
2561,32,170280,Y,Y,N,;
