FACILITY_ID,TOWER_ID,FAC_CALLSIGN,FAC_CHANNEL,FAC_SERVICE,FAC_ZONE,DMA_STATE,DMA_CITY,COUNTRY,SERVICE_POPULATION,LATITUDE,LONGITUDE,NETWORK_AFFIL,STATION_STATUS,STATION_FLAG,,,END_OF_LINE                                                                                                                                                                                               
96814,50572,CBVT9               ,21,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.1147222,71.4066667,                                                                                                    ,                    ,C                   ,,,;
96815,50650,C009681             ,9,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.3119444,72.2422222,                                                                                                    ,                    ,C                   ,,,;
96816,50212,CKMCTV1             ,10,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.2055556,109.595278,                                                                                                    ,                    ,C                   ,,,;
96826,50209,CFCNTV8             ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,50.1625,110.956389,                                                                                                    ,                    ,C                   ,,,;
96828,50309,CBUBT9              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.4883333,115.063056,                                                                                                    ,                    ,C                   ,,,;
96829,50288,CHBCTV3             ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.1,119.579167,                                                                                                    ,                    ,C                   ,,,;
96831,50300,CKTNTV              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.0916667,117.819444,                                                                                                    ,                    ,C                   ,,,;
96832,50269,CHANTV              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.3580556,122.9525,                                                                                                    ,                    ,C                   ,,,;
96834,50159,CBWST               ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.4705556,100.719444,                                                                                                    ,                    ,C                   ,,,;
96835,50168,CKYATV              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,51.0805556,97.6486111,                                                                                                    ,                    ,C                   ,,,;
96838,50682,CBHT6               ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.0772222,64.8172222,                                                                                                    ,                    ,C                   ,,,;
96839,50639,CJOHTV8             ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,45.1763889,74.5272222,                                                                                                    ,                    ,C                   ,,,;
96841,50379,CBWAT               ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.7683333,94.5044444,                                                                                                    ,                    ,C                   ,,,;
96843,50386,CBLAT1              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,49.1391667,85.8233333,                                                                                                    ,                    ,C                   ,,,;
96844,50697,CKNXTV              ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,44.0905556,81.2072222,                                                                                                    ,                    ,C                   ,,,;
96845,50598,CKCWTV1             ,8,TV   , ,                                                  ,                                                  ,CA                  ,                  ,46.2680556,63.3416667,                                                                                                    ,                    ,C                   ,,,;
