station1,channel1,station2,channel2
73083,24,73333,24
5319,29,42359,29
6568,27,50147,27
19183,20,54940,20
25045,25,25453,25
60560,30,65944,30
73083,15,28480,15
73375,19,13602,19
47904,15,38437,16
49235,25,48813,24
412,23,25045,23
72064,24,81508,24
73907,22,11027,22
3359,27,17544,28
64865,18,64983,17
3369,26,9064,26
74358,15,23960,15
42665,24,41671,24
3661,22,38464,22
9382,26,35101,26
70482,21,55644,20
37511,24,20871,25
22108,26,61216,26
16788,29,57538,30
39664,29,53065,28
61111,19,73333,19
32334,19,42665,19
30826,16,32326,16
20871,23,70900,24
37102,15,28199,16
32334,18,42665,17
4108,21,11909,21
35096,14,24801,14
83310,26,73312,26
10221,14,54011,14
50782,26,37176,26
73375,28,13602,28
12477,20,43193,20
34211,22,1222,22
73336,20,60357,19
19183,27,6601,27
53939,17,70138,17
720,19,71325,18
35090,28,4190,29
71329,30,9054,30
10213,17,47904,18
74070,16,25544,15
11118,20,34204,20
66378,21,71218,21
74197,15,16389,15
73875,24,68401,23
61026,21,68518,21
60537,21,35882,21
74358,20,71353,20
61011,24,69124,24
7908,30,1222,30
24813,16,71329,15
62136,25,47929,25
69479,20,59438,20
38588,21,349,21
60556,23,41074,22
16363,17,4329,17
36989,24,74215,25
67993,24,74422,23
60534,16,5319,17
74559,20,2130,19
74559,18,2130,17
68695,14,59014,14
53065,30,39664,29
10073,30,4108,30
16389,22,74197,21
73318,26,30576,26
147,26,25456,27
20476,21,29455,20
19190,16,53114,17
14322,21,73206,22
68905,19,12477,18
49235,28,48813,29
35692,17,35652,16
3660,18,65355,17
65667,18,35908,19
6870,20,74174,21
10981,22,52408,23
54948,15,53819,14
53716,27,49421,27
24812,29,35385,29
81669,25,62207,25
41671,21,25040,21
38430,26,18741,26
74174,21,72115,22
37511,28,52887,28
37238,19,18301,19
64987,26,52953,25
415,16,14326,15
71427,23,70119,24
66358,27,9425,28
69338,19,70649,20
50063,19,41436,20
73238,23,6476,22
50347,24,57832,24
35881,18,35921,18
6104,19,10267,19
25686,27,68007,27
21158,14,19190,14
51518,29,35867,29
60553,20,6048,20
81669,23,62207,23
53115,25,7692,25
69360,25,53921,24
67766,26,52429,26
73333,25,74170,25
10073,27,6744,28
22206,20,73207,21
2130,22,74559,23
64865,30,4110,29
13924,15,208,16
37104,19,2708,20
74138,17,84802,18
74422,21,67993,20
74138,24,84802,24
42124,15,9382,15
76268,28,60795,27
51429,20,56034,20
73982,18,25682,17
48608,19,27290,20
41674,24,68007,24
11123,23,63557,23
26676,21,26681,20
25538,16,4108,16
58725,29,73964,30
68433,29,10212,28
11125,26,55106,25
51490,30,16950,30
34196,17,61217,17
6601,21,54940,20
33875,26,34564,27
41314,14,66185,14
60354,15,4326,15
67077,18,13060,17
208,17,73910,16
49421,22,53716,22
1222,27,67798,27
10521,30,72076,30
72099,23,10153,23
131,24,74559,24
69416,25,53921,25
26681,18,26676,17
363,26,24812,27
61551,29,8257,28
19199,19,73152,18
76268,21,60795,21
30283,16,1002,16
41458,24,71280,24
81447,21,71072,21
73101,26,27300,25
35101,23,9382,23
51490,23,16950,22
52953,21,49153,22
39884,28,10213,27
69618,22,144,23
60795,16,76268,17
147,17,7692,16
36718,25,56384,26
5982,27,10133,27
38430,16,18741,16
10132,21,73264,21
74422,20,67993,19
25932,25,71121,25
6870,29,78915,29
43193,16,12477,15
50780,18,70184,18
166331,24,67532,25
9999,27,50347,28
58560,16,308,16
35666,14,66222,14
72078,21,22211,21
19654,18,18748,17
60354,21,35648,21
65944,30,52075,30
27300,27,73101,27
10213,28,47904,27
72064,24,12793,23
2506,22,25358,22
9425,16,66358,16
56384,25,3167,25
19183,22,6601,23
36718,19,3167,19
35994,20,68538,20
73910,23,208,23
8156,22,67190,21
67781,25,17203,25
65667,20,84802,20
23942,27,23967,27
23142,15,4688,15
147,27,7692,27
19183,29,6601,30
9425,15,47902,14
7841,18,25684,18
40211,18,41095,18
25682,16,33081,17
12499,17,73356,16
33081,27,25682,27
5319,22,42359,23
35460,28,50591,29
16455,21,10213,21
29455,21,166510,22
61551,27,8257,27
53114,28,11033,28
12498,24,73319,24
48406,27,7692,28
4693,28,74137,28
35912,25,53847,25
55108,15,23960,16
40759,19,25544,19
32326,17,67022,16
3661,25,51886,26
59013,25,34564,25
78314,25,52426,25
717,18,23960,18
27504,29,83822,29
25932,23,67462,23
74112,24,61504,24
18283,20,36003,19
6463,28,25456,27
22211,28,72078,29
35908,20,65667,19
34895,30,65690,30
4689,27,25684,27
37176,22,9054,22
32334,19,6885,19
9939,23,66185,24
71325,14,64339,15
74156,17,73206,16
54940,25,6601,25
9064,19,69114,20
7651,24,34243,23
65684,29,56092,30
22206,18,73207,18
415,22,14326,21
52408,27,10981,27
414,19,57840,18
3359,21,17544,21
61026,20,64017,20
72099,15,41436,15
53115,16,7692,16
74420,18,4693,18
23341,25,12499,25
74216,17,7623,18
61217,25,418,26
5319,21,60534,21
11027,16,73153,16
15320,24,28954,25
64339,28,720,28
24981,15,37106,14
69479,14,715,14
24976,25,37106,25
334,28,51499,29
11260,23,63153,23
73101,20,27300,19
60357,22,73336,21
23142,17,74464,18
69124,29,61011,29
68547,28,17625,28
3658,30,51598,29
69360,17,594,17
19431,20,67869,20
59441,19,66219,19
9064,19,17012,19
8257,18,61551,17
5982,24,10133,24
3359,29,58262,30
60560,29,60555,29
50147,23,6568,23
61111,20,28480,21
23422,28,6673,29
74215,20,16389,19
5982,21,27496,20
71427,18,10802,19
40619,26,4693,26
71425,22,3646,22
19654,19,18748,18
84225,24,10265,25
361,18,74098,18
19783,27,35277,27
36989,29,72278,30
53116,29,70414,28
60820,15,23942,15
16530,29,21737,28
74211,28,41221,29
61551,19,8257,19
56384,16,36718,16
25456,14,6463,14
6463,28,147,28
83945,24,64048,24
34243,27,34212,27
36718,21,56384,20
9635,17,37104,18
35908,23,65667,22
4689,17,7841,17
41671,15,42665,15
72115,17,74174,16
53863,24,2245,24
8653,20,24978,20
29292,26,34895,27
6048,15,60553,15
1104,27,25065,27
13924,27,49421,27
34204,30,11118,30
11125,18,55106,18
13602,21,39656,21
73312,21,83310,21
72064,22,12793,22
65667,16,35908,16
39884,14,10758,14
73238,18,25682,19
55454,27,41375,26
7908,20,34211,20
7841,24,25684,24
52075,16,60560,16
11910,16,60353,15
10242,23,34577,23
41436,15,50063,16
74070,27,71089,27
18798,27,2708,26
67190,27,8156,26
35385,21,24812,22
13594,27,74156,27
55203,30,9054,30
6476,20,73982,21
10153,29,14050,28
35585,14,18793,14
60795,25,76268,24
43952,17,73879,18
37511,16,20871,15
57545,17,78322,17
35385,24,71329,25
27496,16,5982,15
51980,26,60551,25
74358,23,23960,23
73964,28,10318,29
49397,30,166319,30
8843,20,72120,20
3658,24,51598,23
63557,15,11123,14
54940,26,19183,26
16950,24,51490,25
69397,21,70251,21
70184,25,50780,25
51984,14,147,14
62219,23,74156,23
65690,21,73155,20
60464,14,51518,15
54443,25,3255,25
57840,29,414,29
63153,24,9610,25
4108,15,11909,15
19561,16,61573,16
74137,29,24914,29
12523,18,40058,18
73319,14,52280,15
70428,18,28311,18
74419,16,9766,16
59014,20,68695,21
66999,21,60830,22
64338,16,19200,16
48465,24,51568,24
52075,20,65944,20
60555,21,147,21
51493,26,20871,26
9629,20,67002,20
37808,19,4685,19
21432,14,61039,14
42359,14,5319,14
65526,17,35594,17
208,27,13924,28
4689,18,2708,18
131,27,67602,28
40626,16,65670,16
306,27,51517,27
83822,26,27504,26
2708,29,18798,29
10981,30,41674,29
74422,29,43424,28
72278,28,36989,29
4688,30,23142,30
59014,24,68695,23
65943,27,68401,27
25040,19,74420,19
52887,19,18148,19
28468,21,17742,21
25686,26,25684,25
11125,28,41225,27
50780,20,70184,21
81750,25,37808,26
41221,21,74211,21
53863,16,2245,16
70416,25,56523,26
71871,22,72123,22
4326,26,60354,26
67869,25,19431,26
2708,29,37104,28
25065,21,1104,21
13924,23,208,23
53114,28,19190,29
67014,20,39561,20
34329,25,40758,24
26304,16,35921,17
72041,26,48546,26
69360,19,53921,20
180295,14,57476,14
68910,27,717,27
73375,24,39884,24
28480,14,51567,14
57545,27,78322,27
64548,22,77483,21
40618,15,40626,15
43846,17,73642,17
53115,28,9610,28
591,21,48813,21
66222,24,7078,24
71293,18,57538,18
37104,22,9635,22
11033,26,71871,27
52429,22,67766,22
8532,15,68408,15
22108,18,61216,18
71280,17,41458,17
78915,24,6870,24
25456,17,147,17
55644,21,70482,20
35867,15,38562,16
334,29,51499,29
72623,18,415,18
29292,28,73155,28
43952,30,67866,29
71353,24,74358,23
74156,14,73206,14
72064,24,12793,25
23341,17,70309,17
3072,30,13602,29
24977,19,16940,19
71363,15,43197,15
20588,30,46755,29
64987,15,52953,14
64983,19,52073,20
59013,14,34564,14
67766,19,52429,19
49712,25,48668,24
61026,24,30580,24
66999,22,60830,21
35460,17,8322,18
7675,16,67999,16
35867,23,38562,22
55108,15,13206,16
47905,25,74007,25
24978,15,4149,14
42124,29,9382,29
71329,16,24813,15
84225,27,10265,28
41074,17,60556,16
69692,26,2561,27
10521,18,72076,17
60555,24,51984,24
67001,21,51570,21
53115,18,7692,19
73120,22,71676,23
71217,18,41397,18
10213,25,73206,25
60654,27,52075,27
39656,14,39664,14
71363,16,43197,17
8843,23,72120,23
4326,26,70536,26
73101,15,27300,14
7933,30,10259,30
11027,25,73153,25
28510,26,6096,26
414,25,54963,25
43168,25,49712,26
363,18,24812,17
73642,30,43846,30
7908,23,1222,23
23487,14,69446,14
29292,30,73155,30
36003,19,37005,19
19190,28,53114,28
41883,16,2769,16
69943,21,6048,21
71871,21,72123,21
41671,27,32334,26
10073,29,6744,29
6601,16,54940,17
51518,17,60464,18
51349,30,60165,30
74417,16,72207,16
5319,25,42359,25
64983,28,52073,28
72060,22,13206,22
3255,21,54443,21
72335,22,9739,22
6476,29,25682,29
13602,21,73207,21
9425,20,47902,21
6744,15,71238,14
11906,16,43197,15
50782,20,9054,21
67869,14,73189,14
361,19,74098,19
67077,30,9990,30
65942,21,9987,21
208,22,13924,22
147,16,7692,16
166510,27,29455,28
27290,19,48608,18
22206,19,48465,18
38464,15,25065,15
55203,14,9054,14
71325,26,48693,26
