station_id,current_channel,country,tower_id,population
999424,19,USA,30214,
999425,19,USA,30221,
999426,19,USA,30186,
999427,19,USA,30053,
999428,19,USA,30054,
999429,19,USA,30027,
999430,19,USA,30011,
999431,19,USA,30046,
999432,19,USA,30232,
999433,19,USA,30246,
999434,19,USA,30209,
999435,19,USA,30239,
999436,19,USA,30228,
999437,19,USA,30217,
999438,19,USA,30190,
999439,19,USA,30197,
999440,19,USA,30206,
999441,19,USA,30242,
999442,19,USA,30260,
999443,19,USA,30235,
999444,19,USA,30183,
999445,19,USA,30211,
999446,19,USA,30256,
999447,19,USA,30195,
999448,19,USA,30213,
999449,19,USA,30031,
999450,19,USA,30233,
999451,19,USA,30038,
999452,19,USA,30050,
999453,19,USA,30244,
999454,19,USA,30191,
999455,19,USA,30255,
999456,19,USA,30202,
999457,19,USA,30034,
999458,19,USA,30023,
999459,19,USA,30242,
999460,19,USA,30216,
999461,19,USA,30219,
999462,19,USA,30229,
999463,19,USA,30194,
999464,19,USA,30255,
999465,19,USA,30227,
999466,20,USA,30135,
180231,48,CA,40450,
999468,20,USA,30126,
999469,20,USA,30117,
999470,20,USA,30128,
999471,20,USA,30130,
999472,20,USA,30129,
999473,20,USA,30133,
180233,33,CA,40548,
999480,20,USA,30122,
999481,20,USA,30132,
180282,18,CA,40217,
999484,15,USA,30287,
999487,15,USA,30288,
999488,15,USA,30289,
999490,19,USA,30171,
180235,16,CA,40456,
999492,19,USA,30140,
999493,19,USA,30172,
999494,19,USA,30150,
999495,19,USA,30154,
180296,24,CA,40630,
999497,18,USA,30012,
999498,18,USA,30179,
999499,18,USA,30009,
999500,18,USA,30180,
999501,18,USA,30178,
999502,18,USA,30176,
180237,51,CA,40456,
999504,18,USA,30181,
180305,33,CA,40533,
999506,19,USA,30061,
999507,19,USA,30059,
999508,19,USA,30058,
999509,19,USA,30065,
999511,16,USA,30130,
999512,16,USA,30133,
999513,16,USA,30117,
999514,16,USA,30122,
98319,35,CA,50644,
999516,14,USA,30163,
999517,15,USA,30163,
999518,15,USA,30044,
999519,15,USA,30248,
999520,15,USA,30224,
999521,15,USA,30017,
999522,15,USA,30039,
999523,15,USA,30048,
999524,18,USA,30008,
999525,18,USA,30007,
999526,18,USA,30004,
999527,18,USA,30175,
999528,18,USA,30003,
999529,18,USA,30005,
999530,18,USA,30006,
999531,18,USA,30174,
999532,18,USA,30177,
999533,20,USA,30101,
999534,20,USA,30119,
999535,16,USA,30002,
999536,19,USA,30130,
999537,19,USA,30133,
999538,19,USA,30117,
999539,19,USA,30122,
999540,19,USA,30104,
999541,19,USA,30116,
999542,19,USA,30085,
999543,19,USA,30084,
999544,19,USA,30086,
999545,19,USA,30136,
999546,19,USA,30141,
180350,49,CA,40423,
180245,38,CA,40543,
180355,28,CA,40538,
180356,34,CA,40539,
180246,39,CA,40544,
65670,27,USA,716,6735929
41095,44,USA,10273,1142979
180360,47,CA,40539,
180361,44,CA,40551,
180363,36,CA,40420,
180364,24,CA,40315,
180365,26,CA,40316,
180366,38,CA,40316,
180367,18,CA,40063,
180368,29,CA,40063,
180370,49,CA,40194,
180371,51,CA,40112,
180373,17,CA,40311,
180374,21,CA,40311,
180249,31,CA,40521,
180377,16,CA,40310,
180378,39,CA,40309,
180379,48,CA,40310,
180382,27,CA,40300,
180383,14,CA,40108,
180384,25,CA,40108,
180385,29,CA,40106,
180386,19,CA,40193,
180387,31,CA,40193,
180388,35,CA,40193,
98469,29,CA,50643,
180390,28,CA,40314,
180391,33,CA,40314,
180392,22,CA,40105,
98474,44,CA,50381,
180395,45,CA,40190,
180397,14,CA,40173,
180398,24,CA,40173,
180400,24,CA,40304,
180401,39,CA,40304,
180402,45,CA,40304,
180403,22,CA,40068,
98484,39,CA,50341,
180407,45,CA,40115,
180410,15,CA,40098,
180419,30,CA,40183,
180420,36,CA,40184,
180425,40,CA,40198,
180430,22,CA,40072,
180438,44,CA,40303,
180260,46,CA,40426,
180444,18,CA,40187,
180445,20,CA,40188,
180446,26,CA,40186,
180451,40,CA,40181,
180452,44,CA,40188,
180044,31,CA,40582,
24812,20,USA,801,1140336
180461,51,CA,40188,
98543,40,CA,50477,
180464,22,CA,40177,
180264,25,CA,40447,
180466,38,CA,40177,
180467,49,CA,40178,
180468,32,CA,40104,
180469,40,CA,40104,
180474,17,CA,40066,
180475,19,CA,40067,
180476,21,CA,40067,
180478,28,CA,40067,
180479,34,CA,40067,
180480,36,CA,40067,
180481,39,CA,40066,
180482,42,CA,40066,
180484,15,CA,40301,
180490,45,CA,40102,
180271,50,CA,40473,
180512,21,CA,40306,
180514,38,CA,40306,
180515,50,CA,40306,
180520,27,CA,40110,
180521,41,CA,40109,
180524,14,CA,40113,
180274,45,CA,40407,
180526,30,CA,40113,
180527,34,CA,40113,
180528,38,CA,40113,
188721,26,CA,50771,
180531,22,CA,40004,
180532,51,CA,40003,
98613,41,CA,50756,
180536,14,CA,40007,
180537,15,CA,40007,
180538,19,CA,40007,
180539,20,CA,40005,
180540,36,CA,40008,
180541,38,CA,40006,
180543,15,CA,40010,
180544,23,CA,40010,
180545,35,CA,40009,
180281,14,CA,40218,
41314,38,USA,523,2849952
16747,21,USA,256,186868
16749,46,USA,1043,403480
180285,32,CA,40216,
178920,19,CA,40287,
74098,28,USA,237,2816164
8564,22,USA,1236,1900032
180286,35,CA,40218,
98679,42,CA,50776,
5468,23,USA,403,597376
180049,43,CA,40577,
65919,40,USA,941,2271319
98688,15,CA,50553,
178923,31,CA,40287,
188112,18,CA,40763,
8257,19,USA,10019,332190
98370,45,CA,50698,
24975,20,USA,10387,671773
24976,21,USA,10387,671773
24977,41,USA,10384,495918
24978,30,USA,10414,299973
16788,25,USA,1346,3792044
24981,22,USA,10411,1059710
65942,42,USA,650,7135131
65943,44,USA,642,1725648
65944,29,USA,646,5917188
74138,28,USA,1086,1680713
411,30,USA,620,3111600
412,26,USA,809,1618280
413,28,USA,253,1128539
414,29,USA,950,3658794
418,15,USA,841,1905845
74151,47,USA,344,1259515
180295,14,CA,40636,
98742,32,CA,50481,
180297,27,CA,40630,
180298,30,CA,40630,
74176,46,USA,792,731738
450,31,USA,10055,716515
180299,41,CA,40630,
455,39,USA,328,4759218
180300,50,CA,40637,
8653,30,USA,10385,754793
180301,23,CA,40535,
25040,36,USA,415,1049876
188881,42,CA,40578,
98770,44,CA,50710,
180302,44,CA,40535,
98774,44,CA,50564,
180303,48,CA,40535,
41436,18,USA,369,6845258
49632,28,USA,9,302727
180304,39,CA,40612,
74211,21,USA,326,5770407
74215,40,USA,550,19153378
74216,28,USA,10135,3173012
25065,28,USA,625,2782738
25067,16,USA,621,3313952
180306,49,CA,40532,
180719,45,MX,70038,
57840,30,USA,796,1236040
180721,39,MX,70137,
180722,43,MX,70137,
25078,24,USA,10179,1182349
180308,43,CA,40553,
35584,42,USA,133,340504
98147,16,CA,50602,
35585,27,USA,170,89105
180311,50,CA,40435,
179781,38,CA,40349,
74256,20,USA,287,70745
41493,49,USA,10054,98889
180313,35,CA,40554,
97768,51,CA,50703,
180762,33,CA,40233,
180764,44,MX,70086,
180766,33,MX,70040,
180767,29,MX,70066,
180768,21,MX,70078,
180769,22,MX,70077,
16930,44,USA,10353,4828933
180772,31,MX,70068,
180773,35,MX,70068,
180774,47,MX,70074,
180776,35,MX,70094,
180316,27,CA,40419,
180778,26,MX,70103,
180779,32,MX,70090,
180780,38,MX,70091,
180781,45,MX,70090,
180782,24,MX,70142,
180317,28,CA,40419,
180784,21,MX,70121,
180785,23,MX,70156,
180786,33,MX,70154,
180787,44,MX,70139,
57908,24,USA,10181,11017
180318,19,CA,40559,
180790,27,MX,70065,
57911,48,USA,10160,109862
33336,47,USA,591,2175056
180793,14,MX,70051,
180794,22,MX,70053,
180319,33,CA,40559,
180796,24,MX,70167,
180797,31,MX,70165,
180798,51,MX,70161,
180800,34,MX,70109,
180320,39,CA,40628,
180802,38,MX,70112,
180803,26,MX,70147,
180804,44,MX,70017,
180805,46,MX,70009,
180806,46,MX,70013,
180808,45,MX,70012,
180809,47,MX,70046,
180810,35,MX,70134,
180811,42,MX,70054,
180812,31,MX,70072,
180322,48,CA,40626,
180814,49,MX,70110,
180815,28,MX,70123,
180817,29,MX,70134,
594,32,USA,963,1513209
180323,23,CA,40613,
25173,19,USA,782,1950660
179930,38,CA,40496,
178959,21,CA,40077,
180325,31,CA,40534,
608,26,USA,1000,264246
16993,16,USA,1323,798355
180326,33,CA,40540,
179784,50,CA,40348,
617,22,USA,10047,641563
74197,38,USA,550,19870485
180327,44,CA,40540,
180057,34,CA,40576,
178963,31,CA,40134,
17012,16,USA,1035,1575131
629,51,USA,10047,623288
74358,39,USA,10264,470080
180329,27,CA,40560,
178964,48,CA,40140,
66170,41,USA,293,658763
186877,41,MX,70128,
66174,28,USA,924,1531170
180331,50,CA,40558,
73764,41,USA,10313,3031667
25221,33,USA,6,317166
180332,26,CA,40432,
189067,42,CA,40578,
97496,16,CA,50128,
17037,36,USA,1138,5370280
180333,30,CA,40433,
82576,19,USA,662,22618
25236,15,USA,1073,322502
664,25,USA,1389,45471
82585,18,USA,743,80096
16389,39,USA,10137,419319
33440,32,USA,1001,1088945
34211,44,USA,699,783028
56092,21,USA,463,4440884
66219,15,USA,442,872490
178973,32,CA,40035,
164528,30,MX,70146,
189105,35,CA,40741,
74419,36,USA,358,1746650
82613,33,USA,746,63562
74422,26,USA,356,1525928
82615,24,USA,23,69555
701,42,USA,1168,732963
180258,40,CA,40425,
47904,48,USA,718,7076928
706,27,USA,1167,576855
82627,46,USA,246,1018095
710,44,USA,1223,337274
41671,35,USA,413,1258655
180060,29,CA,40409,
713,24,USA,1013,1095962
178978,25,CA,40220,
720,19,USA,1164,337750
71119,23,USA,10236,249406
179549,29,CA,40657,
178981,51,CA,40136,
74464,50,USA,10133,4662779
180347,36,CA,40549,
180061,30,CA,40410,
62219,48,USA,342,280608
180348,42,CA,40549,
180349,39,CA,40423,
97681,27,CA,50677,
126,32,USA,572,3012227
37099,47,USA,830,1157469
179331,51,CA,40135,
33543,22,USA,1004,1128731
180335,16,CA,40510,
180354,16,CA,40539,
181006,45,CA,40539,
181007,46,CA,40539,
181008,27,CA,40089,
66321,35,USA,10341,1907864
787,35,USA,10003,314120
8985,17,USA,10254,824548
8986,29,USA,10212,581150
8988,28,USA,10314,1846596
180357,40,CA,40538,
25382,39,USA,900,1449036
180015,21,CA,40457,
180336,22,CA,40510,
82735,24,USA,1283,408604
17203,25,USA,10066,505363
25396,32,USA,183,508451
66358,20,USA,1376,4908409
9015,36,USA,1190,947799
179439,24,CA,40332,
180193,44,CA,40528,
180362,48,CA,40551,
74559,49,USA,10438,2516462
179877,26,CA,40677,
180337,28,CA,40511,
66378,21,USA,713,1072745
180189,38,CA,40424,
