auction_id,stage,round,bidder,frn,call_sign,facility_id,pre_auction_band,round_station_status,round_held_option,bid_option,bid_option_price,fallback_option,fallback_option_price,benchmark_overprice,random_number
1001,1,1,"Entravision Holdings, LLC",0001529627,K10OG-D,41125,High-VHF,Bidding,Go off-air,Go off-air,21359779,"","",19.018577029329776,0.15537149604209988
1001,1,1,"Gray Television Licensee, LLC",0018223693,KABY-TV,48659,High-VHF,Bidding,Go off-air,Go off-air,20557658,"","",13.135792247009931,0.5321408374905986
1001,1,1,"Aperio Communications, LLC",0024487571,KAIL,67494,High-VHF,Bidding,Go off-air,Go off-air,108435912,"","",19.120935711011498,0.767229939875253
1001,1,1,"Seal Rock Broadcasters, LLC",0005756424,KCBA,14867,High-VHF,Bidding,Go off-air,Go off-air,66625416,"","",19.381651595317862,0.8109632360813068
1001,1,1,CBS Broadcasting Inc.,0003482189,KCCO-TV,9632,High-VHF,Bidding,Go off-air,Go off-air,51282652,"","",13.440880427225352,0.6934570873469896
1001,1,1,CBS Broadcasting Inc.,0003482189,KCCW-TV,9640,High-VHF,Bidding,Go off-air,Go off-air,32424273,"","",13.451558006198866,0.6451967213464216
1001,1,1,"LSB Broadcasting, Inc.",0001569110,KCEN-TV,10245,High-VHF,Bidding,Go off-air,Go off-air,121595117,"","","",0.2471596099110679
1001,1,1,"Fox Television Stations, LLC",0005795067,KCOP-TV,33742,High-VHF,Bidding,Go off-air,Go off-air,322915517,"","",18.211775542239934,0.7791918081854379
1001,1,1,"Oregon TV License Company, LLC",0023422728,KDRV,60736,High-VHF,Bidding,Go off-air,Go off-air,38949814,"","",16.890803630090375,0.3031426032302952
1001,1,1,United Communications Corporation,0002210383,KEYC-TV,68853,High-VHF,Bidding,Go off-air,Go off-air,54628154,"","",13.016945437792742,0.35126884742174647
1001,1,1,"Oregon TV License Company, LLC",0023422728,KEZI,34406,High-VHF,Bidding,Go off-air,Go off-air,59930914,"","",16.54322144435156,0.6562189830280217
1001,1,1,"Surtsey Media, LLC",0006161483,KFJX,83992,High-VHF,Bidding,Go off-air,Go off-air,45128271,"","",12.93354527354768,0.23712060810422975
1001,1,1,"Folse Communications, LLC",0005022363,KJUN-CD,24979,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,14587252,"","",6.957282649794365,0.41595927445982683
1001,1,1,"Citadel Communications, LLC",0003757481,KLKN,11264,High-VHF,Bidding,Go off-air,Go off-air,71415069,"","",12.233725951223732,0.40106025437633985
1001,1,1,"PARKER BROADCASTING OF LOUISIANA LICENSE, LLC",0023894017,KMLU,52046,High-VHF,Bidding,Go off-air,Go off-air,65564032,"","","",0.01655086913876047
1001,1,1,NBC Telemundo License LLC,0019509470,KNTV,35280,High-VHF,Bidding,Go off-air,Go off-air,266742272,"","",19.940525184775993,0.5499402892875951
1001,1,1,Oregon Public Broadcasting,0001549252,KOAC-TV,50590,High-VHF,Bidding,Go off-air,Go off-air,77847881,"","",16.54322144435156,0.07205083706654059
1001,1,1,"KOB-TV, LLC",0002624427,KOBR,62272,High-VHF,Bidding,Go off-air,Go off-air,27165266,"","",12.233725951223676,0.7086651728127886
1001,1,1,Casa en Denver Inc,0022087811,KQCK,18287,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,78242429,"","",5.547474496827817,0.5055671995693114
1001,1,1,"Chang, Jeff",0004293114,KQSL,8378,High-VHF,Bidding,Go off-air,Go off-air,22199325,"","",19.346231164534515,0.6856075708007066
1001,1,1,KSQA LLC,0019020957,KSQA,166546,High-VHF,Bidding,Go off-air,Go off-air,31462941,"","",13.29600797281887,0.7680751058278505
1001,1,1,Smoky Hills Public Television Corp.,0002322261,KSWK,60683,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,6100384,"","",5.352454492172626,0.1695556535457059
1001,1,1,Southern Oregon Public Television,0006182273,KSYS,61350,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,24828916,"","",7.069829538891383,0.46201105875998205
1001,1,1,"KLTV/KTRE License Subsidiary, LLC",0015798341,KTRE,68541,High-VHF,Bidding,Go off-air,Go off-air,52325934,"","",13.678994600409453,0.19882317656864346
1001,1,1,"Rocky Mountain Public Broadcasting Network, Inc.",0001615582,KTSC,69170,High-VHF,Bidding,Go off-air,Go off-air,74086661,"","",13.832422672718621,0.6191357356399237
1001,1,1,"Independent Communications, Inc.",0002431096,KTTM,28501,High-VHF,Bidding,Go off-air,Go off-air,14324272,"","",13.464677735165196,0.4717095390416136
1001,1,1,"Independent Communications, Inc.",0002431096,KTTW,28521,High-VHF,Bidding,Go off-air,Go off-air,34604003,"","",12.52179077970743,0.5653573823961877
1001,1,1,"word of god fellowship, inc.",0001843697,KUTF,69694,High-VHF,Bidding,Go off-air,Go off-air,61035046,"","",25.55700038995883,0.17844771685266259
1001,1,1,"KVIE, INC.",0001545722,KVIE,35855,High-VHF,Bidding,Go off-air,Go off-air,264702662,"","",19.93069233107053,0.8497912245835961
1001,1,1,Blackhawk Broadcasting LLC,0022745111,KYMA-DT,74449,High-VHF,Bidding,Go off-air,Go off-air,23203856,"","",23.02849990250047,0.5985392174847558
1001,1,1,"Catholic Broadcasting of Scranton, Inc.",0008307860,W08EM-D,16962,High-VHF,Bidding,Go off-air,Go off-air,15198157,"","",13.64847548941782,0.15135642250962045
1001,1,1,"Triple J Community Broadcasting, LLC",0005012992,W09DB-D,68143,High-VHF,Bidding,Go off-air,Go off-air,28197595,"","",13.238501636696014,0.007846877773510563
1001,1,1,"Telecinco, Inc.",0001729847,W10BG-D,64864,High-VHF,Bidding,Go off-air,Move to Low-VHF,23775060,Go off-air,40567015,6.297597332803093,0.3391782578656226
1001,1,1,"ITV of Buffalo, LLC",0019818103,WBBZ-TV,9088,High-VHF,Bidding,Go off-air,Go off-air,72300703,"","",15.596673136173308,0.6197644299316912
1001,1,1,Thunder Bay Broadcasting Corporation,0012088241,WBKB-TV,67048,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,11995853,"","",4.909224632023665,0.3751994151739041
1001,1,1,WORD BROADCASTING CORPORATION,0005869664,WBNA,73692,High-VHF,Bidding,Go off-air,Go off-air,127084229,"","","",0.20224162692017533
1001,1,1,"Watson, Vernon",0003789047,WBQP-CD,69993,High-VHF,Bidding,Go off-air,Go off-air,49249983,"","",13.02154243549785,0.2373557234181799
1001,1,1,LAKE SUPERIOR COMMUNITY BROADCASTING CORPORATION,0010932978,WBUP,59281,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,8292870,"","",6.824266207233791,0.8522634664779629
1001,1,1,"WDEF-TV, Inc.",0015347529,WDEF-TV,54385,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,71645643,"","","",0.3970740517965661
1001,1,1,Esteem Broadcasting of North Carolina LLC,0017293747,WFXI,37982,High-VHF,Bidding,Go off-air,Go off-air,40869792,"","","",0.5617207694815869
1001,1,1,Central Ohio Association of Christian Broadcasters,0003020260,WGCT-CD,66172,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,41791202,"","",8.680721124359536,0.9393571475529487
1001,1,1,"Beach TV of South Carolina, Inc.",0004954707,WGSC-CD,4349,High-VHF,Bidding,Move to Low-VHF,Move to Low-VHF,14405287,"","",5.88844134680329,0.41923282720028554
1001,1,1,"SJL of Pennsylvania License Subsidiary, LLC",0013193636,WICU-TV,24970,High-VHF,Bidding,Go off-air,Drop out of bidding,"","","",13.15158550704382,""
1001,1,1,"Stainless Broadcasting, L.P.",0004004933,WICZ-TV,62210,High-VHF,Bidding,Go off-air,Go off-air,87222789,"","",13.682824359572066,0.9357785747615706
1001,1,1,"Indiana Broadcasting, LLC",0004089330,WIIH-CD,167765,High-VHF,Bidding,Go off-air,Go off-air,77201291,"","","",0.8210449123215169
1001,1,1,"Tri-State Christian TV , Inc.",0003791738,WINM,67787,High-VHF,Bidding,Go off-air,Go off-air,88826434,"","",12.998458715072047,0.2650294309998451
1001,1,1,"WDIO-TV, LLC",0004199139,WIRT-DT,71336,High-VHF,Bidding,Go off-air,Go off-air,17543294,"","",13.56451839940894,0.20608763142253128
1001,1,1,"Perez, Benjamin",0008390981,WJKF-CA,4754,High-VHF,Bidding,Go off-air,Go off-air,18906089,"","",13.075559831695614,0.47444705349436356
1001,1,1,Multimedia Holdings Corporation,0001887363,WJXX,11893,High-VHF,Bidding,Go off-air,Go off-air,88501723,"","","",0.20624260907680447
1001,1,1,Holston Valley Broadcasting Corporation,0001770163,WKIN-CD,27503,High-VHF,Bidding,Go off-air,Go off-air,25177723,"","",13.706690057143248,0.8849937424677377
1001,1,1,"WMAK-TV, LLC",0022174155,WKNX-TV,83931,High-VHF,Bidding,Go off-air,Go off-air,97755137,"","","",0.8381372523063388
