auction_id,stage,round,bidding_count,currently_infeasible_count,pending_catch_up_count,provisionally_winning_count,exited_voluntarily_count,exited_not_needed_count,exited_prev_stage_count,bidding_compensation,currently_infeasible_compensation,pending_catch_up_compensation,provisionally_winning_compensation,total_compensation
1001,1,0,858,0,"",172,0,0,"",132509172555,0,"",54882688680,187391861235
1001,1,1,806,28,"",172,24,0,"",119946771180,3191464928,"",54882688680,178020924788
1001,1,2,778,25,"",195,31,1,"",103262526006,2786598765,"",64659990725,170709115496
1001,1,3,766,25,"",204,34,1,"",95626858980,2786598765,"",66965360831,165378818576
1001,1,4,759,28,"",204,38,1,"",90016219530,3162712297,"",66965360831,160144292658
1001,1,5,755,28,"",204,42,1,"",85091465902,3162712297,"",66965360831,155219539030
1001,1,6,752,28,"",204,45,1,"",80625170182,3162712297,"",66965360831,150753243310
1001,1,7,732,27,"",208,61,2,"",74469690116,2938481077,"",67692464035,145100635228
1001,1,8,727,28,"",208,65,2,"",70201322221,3057700388,"",67692464035,140951486644
1001,1,9,724,28,"",208,68,2,"",66536951502,3057700388,"",67692464035,137287115925
1001,1,10,719,29,"",208,72,2,"",62725185235,3241409740,"",67692464035,133659059010
1001,1,11,678,28,"",239,82,3,"",53534832588,3181009390,"",73117769120,129833611098
1001,1,12,661,28,"",248,90,3,"",48801884393,3181009390,"",74392526976,126375420759
1001,1,13,656,27,"",248,96,3,"",46059574346,3109150330,"",74392526976,123561251652
1001,1,14,650,27,"",248,102,3,"",43274403962,3109150330,"",74392526976,120776081268
1001,1,15,646,27,"",248,106,3,"",40916319562,3109150330,"",74392526976,118417996868
1001,1,16,637,27,"",250,113,3,"",38115698007,3070830329,"",74725848671,115912377007
1001,1,17,633,27,"",250,117,3,"",35953586344,3070830329,"",74725848671,113750265344
1001,1,18,617,27,"",251,131,4,"",33284989314,3070830329,"",74739829563,111095649206
1001,1,19,605,27,"",260,134,4,"",30673146707,3070830329,"",75517654584,109261631620
1001,1,20,589,28,"",269,140,4,"",27758328851,3102317151,"",76650510671,107511156673
1001,1,21,565,28,"",284,149,4,"",24290208252,2949172217,"",78229641990,105469022459
1001,1,22,525,28,"",311,161,5,"",20972967412,2909209266,"",80060370058,103942546736
1001,1,23,515,30,"",315,165,5,"",19446312230,2957484917,"",80367358448,102771155595
1001,1,24,508,31,"",315,171,5,"",18294970909,2993607784,"",80367358448,101655937141
1001,1,25,484,29,"",331,180,6,"",16428308437,2846430244,"",81217528936,100492267617
1001,1,26,474,29,"",333,188,6,"",15289393238,2846430244,"",81290779854,99426603336
1001,1,27,462,21,"",346,195,6,"",14231287839,2197749289,"",82114509042,98543546170
1001,1,28,438,23,"",356,207,6,"",12230016972,2295401274,"",82649462448,97174880694
1001,1,29,419,22,"",369,214,6,"",10948145107,2111659814,"",83367894446,96427699367
1001,1,30,416,20,"",369,219,6,"",10315443225,2092302057,"",83367894446,95775639728
1001,1,31,410,20,"",369,225,6,"",9683660178,2092302057,"",83367894446,95143856681
1001,1,32,394,22,"",376,232,6,"",8945580557,1965369718,"",83606451458,94517401733
1001,1,33,377,22,"",385,239,7,"",7865522378,1965369718,"",83966117781,93797009877
1001,1,34,366,23,"",390,244,7,"",7211166096,1974132854,"",84086955604,93272254554
1001,1,35,346,21,"",402,253,8,"",6491610209,1700863154,"",84449881332,92642354695
1001,1,36,344,18,"",403,257,8,"",5799378202,1662282286,"",84484244518,91945905006
1001,1,37,333,19,"",411,259,8,"",5209118837,1698795449,"",84632440910,91540355196
1001,1,38,327,17,"",413,265,8,"",4795517576,1653519150,"",84656061985,91105098711
1001,1,39,324,15,"",413,270,8,"",4422567086,1614111350,"",84656061985,90692740421
1001,1,40,313,18,"",416,275,8,"",3964538862,1354233215,"",84977632717,90296404794
1001,1,41,304,14,"",421,283,8,"",3678841473,777916569,"",85371493561,89828251603
1001,1,42,284,13,"",434,290,9,"",2897963288,705227799,"",85635446790,89238637877
1001,1,43,266,12,"",445,297,10,"",2435156040,683934629,"",85765104186,88884194855
1001,1,44,251,11,"",453,305,10,"",1992049404,663257504,"",85894821246,88550128154
1001,1,45,231,10,"",458,321,10,"",1567691022,621186644,"",85968596493,88157474159
1001,1,46,214,10,"",466,329,11,"",1213495521,596640114,"",86053175168,87863310803
1001,1,47,193,7,"",475,344,11,"",893263691,426374920,"",86259856208,87579494819
1001,1,48,165,5,"",490,359,11,"",736917126,264988253,"",86322344589,87324249968
1001,1,49,119,1,"",506,392,12,"",412875835,90698400,"",86403879675,86907453910
1001,1,50,84,0,"",514,419,13,"",189644491,0,"",86421200287,86610844778
1001,1,51,40,0,"",514,463,13,"",12486705,0,"",86421200287,86433686992
1001,1,52,0,0,"",518,499,13,"",0,0,"",86422558704,86422558704
1001,2,0,129,0,341,48,0,14,512,39739119705,0,31086922494,15596516496,86422558695
1001,2,1,121,5,341,48,3,14,512,36279091602,612140040,31086922494,15596516496,83574670632
1001,2,2,113,5,317,78,5,14,512,30807609419,612140040,21412555257,28611108150,81443412866
1001,2,3,121,4,308,79,6,14,512,30857941491,524912760,19107185151,28965312139,79455351541
1001,2,4,106,1,307,96,8,14,512,26736227345,220958955,19034034906,31740482923,77731704129
1001,2,5,96,1,307,105,9,14,512,22050555128,220958955,19034034906,34598183900,75903732889
1001,2,6,93,1,307,106,11,14,512,20394948709,220958955,19034034906,34939360706,74589303276
1001,2,7,97,1,303,106,11,14,512,20111577504,220958955,18306931702,34939360706,73578828867
1001,2,8,95,1,303,107,12,14,512,18790161256,220958955,18306931702,35135319318,72453371231
1001,2,9,94,1,303,107,13,14,512,17724956784,220958955,18306931702,35135319318,71388166759
1001,2,10,94,1,303,107,13,14,512,16852538320,220958955,18306931702,35135319318,70515748295
1001,2,11,125,1,272,107,13,14,512,21449045857,220958955,12881626618,35135319318,69686950748
1001,2,12,107,1,262,133,15,14,512,17378585546,220958955,11572310676,39186802052,68358657229
1001,2,13,107,1,262,133,15,14,512,16502367528,220958955,11572310676,39186802052,67482439211
1001,2,14,104,1,262,134,17,14,512,15224417579,220958955,11572310676,39376350484,66394037694
1001,2,15,104,1,262,134,17,14,512,14476288448,220958955,11572310676,39376350484,65645908563
1001,2,16,105,1,260,134,18,14,512,14003822344,220958955,11238988981,39376350484,64840120764
1001,2,17,88,1,260,150,19,14,512,10606591625,220958955,11238988981,41957165164,64023704725
1001,2,18,85,1,259,152,21,14,512,9819288395,220958955,11225008089,42115638935,63380894374
1001,2,19,94,1,250,152,21,14,512,10113292796,220958955,10447183068,42115638935,62897073754
1001,2,20,80,1,241,173,23,14,512,6992025800,220958955,9314326981,45609343712,62136655448
1001,2,21,89,2,225,178,24,14,512,7598428146,404668307,7699596158,45919095574,61621788185
1001,2,22,114,1,198,180,25,14,512,8952391471,220958955,5868868093,46129802294,61172020813
1001,2,23,96,1,188,205,28,14,512,7232997868,220958955,5257233937,47708077305,60419268065
1001,2,24,85,1,187,216,29,14,512,5879385570,220958955,5204612843,48706618216,60011575584
1001,2,25,97,1,175,216,29,14,512,6236051234,220958955,4560884823,48706618216,59724513228
1001,2,26,72,1,167,245,33,14,512,4009554889,220958955,4162166595,50777633981,59170314420
1001,2,27,70,1,154,257,36,14,512,3800835283,220958955,3338437407,51528574861,58888806506
1001,2,28,66,1,148,264,39,14,512,3248888766,220958955,3077082709,51964253473,58511183903
1001,2,29,72,2,134,268,42,14,512,3343910645,346034835,2325821361,52183064568,58198831409
1001,2,30,64,1,129,279,45,14,512,2939614979,220958955,2230409191,52542975650,57933958775
1001,2,31,52,1,129,288,48,14,512,2132040971,220958955,2230409191,52996741196,57580150313
1001,2,32,54,1,125,289,49,14,512,2073949615,220958955,2113648892,53019976578,57428534040
1001,2,33,62,1,116,289,50,14,512,2308393202,220958955,1753982570,53019976578,57303311305
1001,2,34,66,1,112,289,50,14,512,2281643713,220958955,1641671752,53019976578,57164250998
1001,2,35,73,1,101,291,52,14,512,2353704289,220958955,1313304110,53086787213,56974754567
1001,2,36,62,1,99,301,55,14,512,1746455104,220958955,1247961198,53529319377,56744694634
1001,2,37,65,1,88,308,56,14,512,1662099431,220958955,1062472534,53663072848,56608603768
1001,2,38,63,2,85,311,57,14,512,1521262987,229722091,1034900339,53684728799,56470614216
1001,2,39,63,2,85,311,57,14,512,1408473175,229722091,1034900339,53684728799,56357824404
1001,2,40,55,2,84,318,59,14,512,1137257070,229722091,1027567245,53826873894,56221420300
1001,2,41,59,2,80,318,59,14,512,1300926129,229722091,764174181,53826873894,56121696295
1001,2,42,64,2,66,323,63,14,512,1078094028,229722091,462195888,53977995318,55748007325
1001,2,43,67,2,57,325,67,14,512,953345158,229722091,361844445,54013933637,55558845331
1001,2,44,70,2,49,327,70,14,512,921245080,229722091,232127385,54033201324,55416295880
1001,2,45,64,1,46,333,74,14,512,716113792,8763136,206765756,54308341756,55239984440
1001,2,46,58,1,38,341,80,14,512,526304372,8763136,122187081,54412815420,55070070009
1001,2,47,48,1,35,348,86,14,512,314816305,8763136,110397991,54481461471,54915438903
1001,2,48,53,1,19,356,89,14,512,259632046,8763136,45742218,54528930297,54843067697
1001,2,49,49,2,5,365,97,14,512,148593188,14781024,9430137,54560175355,54732979704
1001,2,50,38,2,0,371,107,14,512,63113164,14781024,0,54573089279,54650983467
1001,2,51,9,1,0,379,129,14,512,12612783,6017888,0,54585547175,54604177846
1001,2,52,1,0,0,380,137,14,512,6017888,0,0,54586032836,54592050724
1001,2,53,0,0,0,380,138,14,512,0,0,0,54586032836,54586032836
1001,3,0,30,0,324,26,0,0,650,9279753075,0,37845572906,7460706841,54586032822
1001,3,1,30,0,324,26,0,0,650,8821796029,0,37845572906,7460706841,54128075776
1001,3,2,57,0,297,26,0,0,650,20627656247,0,25604653484,7460706841,53693016572
1001,3,3,39,0,292,48,1,0,650,9610576085,0,24226334576,17859802811,51696713472
1001,3,4,53,2,276,48,1,0,650,11710056183,129441465,21524314038,17859802811,51223614497
1001,3,5,45,2,267,64,2,0,650,9107713839,129441465,19325539724,21834931494,50397626522
1001,3,6,46,2,266,64,2,0,650,8990352167,129441465,18984362918,21834931494,49939088044
1001,3,7,46,2,266,64,2,0,650,8533744993,129441465,18984362918,21834931494,49482480870
1001,3,8,46,2,266,64,2,0,650,8116174075,129441465,18984362918,21834931494,49064909952
1001,3,9,46,2,266,64,2,0,650,7719481705,129441465,18984362918,21834931494,48668217582
1001,3,10,46,2,266,64,2,0,650,7342623954,129441465,18984362918,21834931494,48291359831
1001,3,11,46,2,266,64,2,0,650,6984609082,129441465,18984362918,21834931494,47933344959
1001,3,12,68,2,244,64,2,0,650,10266712186,129441465,15362145699,21834931494,47593230844
1001,3,13,55,0,233,89,3,0,650,7691713601,0,14393879649,24856266675,46941859925
1001,3,14,23,0,214,138,5,0,650,2815602726,0,13102002106,30608623433,46526228265
1001,3,15,23,0,214,138,5,0,650,2679084507,0,13102002106,30608623433,46389710046
1001,3,16,23,0,214,138,5,0,650,2549392201,0,13102002106,30608623433,46260017740
1001,3,17,39,0,198,138,5,0,650,5006999187,0,10521187428,30608623433,46136810048
1001,3,18,41,0,196,138,5,0,650,4844501462,0,10362713657,30608623433,45815838552
1001,3,19,41,0,196,138,5,0,650,4600347117,0,10362713657,30608623433,45571684207
1001,3,20,60,0,177,138,5,0,650,7670446563,0,7067476653,30608623433,45346546649
1001,3,21,63,0,174,138,5,0,650,7504823452,0,6854115943,30608623433,44967562828
1001,3,22,63,0,174,138,5,0,650,7123986148,0,6854115943,30608623433,44586725524
1001,3,23,47,0,164,162,7,0,650,4757250922,0,6194670418,33139322637,44091243977
1001,3,24,57,0,154,162,7,0,650,5467392157,0,5248750604,33139322637,43855465398
1001,3,25,61,0,150,162,7,0,650,5371274387,0,5042308137,33139322637,43552905161
1001,3,26,77,0,134,162,7,0,650,6118357399,0,4028173621,33139322637,43285853657
1001,3,27,69,0,123,180,8,0,650,4209622858,0,3310753245,35383110173,42903486276
1001,3,28,76,2,114,180,8,0,650,4406030009,214120603,2684806935,35383110173,42688067720
1001,3,29,62,0,108,201,9,0,650,3421243631,0,2412138699,36590786944,42424169274
1001,3,30,53,0,104,213,10,0,650,2589163621,0,2287726019,37314390228,42191279868
1001,3,31,51,0,95,223,11,0,650,2194112241,0,1833960474,37977334680,42005407395
1001,3,32,48,0,94,226,12,0,650,1997466930,0,1810725092,38051511609,41859703631
1001,3,33,44,0,92,231,13,0,650,1792178116,0,1726634484,38229068816,41747881416
1001,3,34,45,0,91,231,13,0,650,1702739724,0,1718107479,38229068816,41649916019
1001,3,35,41,0,75,250,14,0,650,1507623376,0,1095939357,38925804203,41529366936
1001,3,36,36,0,72,257,15,0,650,1348841390,0,960494485,39111656060,41420991935
1001,3,37,18,0,69,275,18,0,650,514544905,0,895054632,39824204684,41233804221
1001,3,38,16,0,63,282,19,0,650,369635339,0,847912858,39927417352,41144965549
1001,3,39,16,0,63,282,19,0,650,342419838,0,847912858,39927417352,41117750048
1001,3,40,23,0,56,282,19,0,650,457349433,0,705767763,39927417352,41090534548
1001,3,41,23,0,56,282,19,0,650,417633428,0,705767763,39927417352,41050818543
1001,3,42,23,0,53,284,20,0,650,367835185,0,670662840,39957398451,40995896476
1001,3,43,23,0,51,284,22,0,650,338517922,0,634724521,39957398451,40930640894
1001,3,44,25,0,49,284,22,0,650,318031795,0,615456834,39957398451,40890887080
1001,3,45,24,1,44,288,23,0,650,268787274,220958955,362397054,39990234260,40842377543
1001,3,46,21,1,36,297,25,0,650,221955565,220958955,257923390,40089958900,40790796810
1001,3,47,21,3,28,301,27,0,650,172860685,316303628,95704627,40143181628,40728050568
1001,3,48,21,3,21,306,29,0,650,141202280,316303628,52204750,40170285830,40679996488
1001,3,49,22,3,12,312,31,0,650,89702244,316303628,20308112,40206988353,40633302337
1001,3,50,17,3,7,317,36,0,650,38459880,316303628,10197098,40217557739,40582518345
1001,3,51,11,0,0,325,44,0,650,242693460,0,0,40313164425,40555857885
1001,3,52,0,0,0,326,54,0,650,0,0,0,40313164425,40313164425
1001,4,0,13,0,307,6,0,0,704,5863815900,0,34447504437,1844078,40313164415
1001,4,1,13,0,307,6,0,0,704,5570625105,0,34447504437,1844078,40019973620
1001,4,2,15,0,305,6,0,0,704,6168700884,0,33570897398,1844078,39741442360
1001,4,3,32,0,287,6,1,0,704,14818731275,0,24195916348,1844078,39016491701
1001,4,4,32,0,287,6,1,0,704,13724918674,0,24195916348,1844078,37922679100
1001,4,5,48,0,271,6,1,0,704,17681061709,0,19561861003,1844078,37244766790
1001,4,6,48,0,271,6,1,0,704,16758481648,0,19561861003,1844078,36322186729
1001,4,7,47,0,271,6,2,0,704,15600691300,0,19561861003,1844078,35164396381
1001,4,8,48,0,270,6,2,0,704,15025994874,0,19365902391,1844078,34393741343
1001,4,9,48,0,270,6,2,0,704,14274766623,0,19365902391,1844078,33642513092
1001,4,10,48,0,270,6,2,0,704,13570407819,0,19365902391,1844078,32938154288
1001,4,11,46,0,270,6,4,0,704,12371072351,0,19365902391,1844078,31738818820
1001,4,12,49,0,267,6,4,0,704,12156642478,0,18971194962,1844078,31129681518
1001,4,13,61,2,253,6,4,0,704,13481854341,129441465,16918125831,1844078,30531265715
1001,4,14,92,2,222,6,4,0,704,17382192027,129441465,12268098185,1844078,29781575755
1001,4,15,90,2,222,6,6,0,704,15961388520,129441465,12268098185,1844078,28360772248
1001,4,16,88,2,222,6,8,0,704,14885516421,129441465,12268098185,1844078,27284900149
1001,4,17,88,2,222,6,8,0,704,14158127986,129441465,12268098185,1844078,26557511714
1001,4,18,84,2,222,7,11,0,704,12720137017,129441465,12268098185,193657243,25311333910
1001,4,19,84,2,222,7,11,0,704,12096034626,129441465,12268098185,193657243,24687231519
1001,4,20,85,2,220,7,12,0,704,11585489002,129441465,12069630413,193657243,23978218123
1001,4,21,76,0,219,16,15,0,704,9833755022,0,12008838765,1162615814,23005209601
1001,4,22,77,0,217,16,16,0,704,9367549443,0,11798132045,1162615814,22328297302
1001,4,23,110,0,184,16,16,0,704,12049503633,0,8653249126,1162615814,21865368573
1001,4,24,109,0,184,16,17,0,704,11302023790,0,8653249126,1162615814,21117888730
1001,4,25,106,0,184,17,19,0,704,10523331985,0,8653249126,1272207940,20448789051
1001,4,26,102,0,175,29,20,0,704,9677924559,0,7607597549,2509606202,19795128310
1001,4,27,120,0,156,29,21,0,704,11400472766,0,5330289510,2509606202,19240368478
1001,4,28,91,0,152,59,24,0,704,6990138554,0,5177949037,6104320459,18272408050
1001,4,29,104,2,134,60,26,0,704,7292098795,214120603,4056958757,6210051581,17773229736
1001,4,30,110,2,120,64,30,0,704,7298769767,214120603,3193269241,6427752255,17133911866
1001,4,31,100,2,109,80,35,0,704,6143958284,214120603,2507142261,7590380702,16455601850
1001,4,32,106,2,103,80,35,0,704,6038246880,214120603,2311168619,7590380702,16153916804
1001,4,33,95,2,96,95,38,0,704,5036198239,214120603,2067354531,8384368143,15702041516
1001,4,34,92,2,96,96,40,0,704,4584662023,214120603,2067354531,8465175772,15331312929
1001,4,35,94,2,92,97,41,0,704,4264315776,214120603,1949159159,8556292214,14983887752
1001,4,36,100,2,80,100,44,0,704,4122892660,214120603,1550343766,8739973305,14627330334
1001,4,37,113,2,61,102,48,0,704,4327366924,214120603,806773798,8822620097,14170881422
1001,4,38,110,2,59,106,49,0,704,3861328171,214120603,783107307,8937006954,13795563035
1001,4,39,109,2,59,106,50,0,704,3550207020,214120603,783107307,8937006954,13484441884
1001,4,40,104,2,59,110,51,0,704,2973062022,214120603,783107307,9197906308,13168196240
1001,4,41,103,2,58,111,52,0,704,2813810928,214120603,652639527,9209948798,12890519856
1001,4,42,106,2,55,111,52,0,704,2554907860,214120603,544666991,9209948798,12523644252
1001,4,43,90,2,53,122,59,0,704,1951128566,139387830,515361038,9446190847,12052068281
1001,4,44,81,2,53,127,63,0,704,1621639711,25328393,515361038,9523266522,11685595664
1001,4,45,72,2,49,134,69,0,704,1157531846,20356929,483576565,9642201577,11303666917
1001,4,46,61,1,40,146,78,0,704,771737029,15405751,383851926,9850574844,11021569550
1001,4,47,65,1,31,147,82,0,704,728843063,15405751,229309960,9856114888,10829673662
1001,4,48,53,2,26,155,90,0,704,391634394,16855057,200404203,9923323334,10532216988
1001,4,49,39,1,18,166,102,0,704,220374234,7001275,119130255,10021983342,10368489106
1001,4,50,26,1,9,173,117,0,704,53881714,7001275,97867484,10051843906,10210594379
1001,4,51,20,1,0,174,131,0,704,102473211,7001275,0,10054163296,10163637782
1001,4,52,1,0,0,175,150,0,704,7001275,0,0,10054676822,10061678097
1001,4,53,0,0,0,175,151,0,704,0,0,0,10054676822,10054676822
