DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
1,"New York, NY",1328,WABC-TV,7,DT,206," 22,198,046 ",67622,1108843,"$598,775,220 ","$349,285,545 ",NA
1,"New York, NY",9610,WCBS-TV,33,DT,179," 20,258,210 ",60218,987430,"$888,687,000 ","$666,515,250 ","$355,474,800 "
1,"New York, NY",168834,WDVB-CD,23,DC,112," 7,243,939 ",28484,467063,"$420,356,700 ","$315,267,525 ","$168,142,680 "
1,"New York, NY",67866,WEBR-CD,49,DC,98," 6,620,511 ",25472,417675,"$375,907,500 ","$281,930,625 ","$150,363,000 "
1,"New York, NY",13594,WEDW,49,DT,173," 5,312,240 ",30315,497097,"$447,387,300 ","$335,540,475 ","$178,954,920 "
1,"New York, NY",30429,WEPT-CD,22,DC,105," 730,310 ",8757,143591,"$129,231,900 ","$96,923,925 ","$51,692,760 "
1,"New York, NY",60553,WFTY-DT,23,DT,176," 4,992,764 ",29643,486078,"$437,470,200 ","$328,102,650 ","$174,988,080 "
1,"New York, NY",60555,WFUT-DT,30,DT,149," 19,339,795 ",53681,880234,"$792,210,600 ","$594,157,950 ","$316,884,240 "
1,"New York, NY",86537,WJLP,3,DT,149," 20,909,552 ",55817,915261,"$205,933,725 ",NA,NA
1,"New York, NY",38336,WLIW,21,DT,149," 13,889,803 ",45493,745968,"$671,371,200 ","$503,528,400 ","$268,548,480 "
1,"New York, NY",73206,WLNY-TV,47,DT,185," 5,788,434 ",32724,536594,"$482,934,600 ","$362,200,950 ","$193,173,840 "
1,"New York, NY",43952,WMBC-TV,18,DT,160," 18,442,327 ",54321,890732,"$801,658,800 ","$601,244,100 ","$320,663,520 "
1,"New York, NY",14322,WMBQ-CD,46,DC,92," 9,856,262 ",30113,493775,"$444,397,500 ","$333,298,125 ","$177,759,000 "
1,"New York, NY",73207,WMUN-CD,45,DC,83," 7,329,889 ",24665,404452,"$364,006,800 ","$273,005,100 ","$145,602,720 "
1,"New York, NY",47535,WNBC,28,DT,165," 20,338,490 ",57930,949906,"$854,915,400 ","$641,186,550 ","$341,966,160 "
1,"New York, NY",18795,WNET,13,DT,123," 20,145,508 ",49778,816246,"$440,772,840 ","$257,117,490 ",NA
1,"New York, NY",48457,WNJB,8,DT,188," 15,135,992 ",53344,874709,"$472,342,860 ","$275,533,335 ",NA
1,"New York, NY",48477,WNJN,51,DT,156," 17,655,414 ",52481,860559,"$774,503,100 ","$580,877,325 ","$309,801,240 "
1,"New York, NY",73333,WNJU,36,DT,179," 20,777,271 ",60985,1000000,"$900,000,000 ","$675,000,000 ","$360,000,000 "
1,"New York, NY",6048,WNYE-TV,24,DT,146," 18,598,945 ",52110,854476,"$769,028,400 ","$576,771,300 ","$307,611,360 "
1,"New York, NY",20818,WNYJ-TV,29,DT,128," 13,990,068 ",42317,693896,"$624,506,400 ","$468,379,800 ","$249,802,560 "
1,"New York, NY",22206,WNYW,44,DT,162," 19,465,847 ",56156,920817,"$828,735,300 ","$621,551,475 ","$331,494,120 "
1,"New York, NY",73881,WPIX,11,DT,120," 19,930,905 ",48905,801924,"$433,038,960 ","$252,606,060 ",NA
1,"New York, NY",73356,WPXN-TV,31,DT,132," 18,859,697 ",49895,818151,"$736,335,900 ","$552,251,925 ","$294,534,360 "
1,"New York, NY",74156,WRNN-TV,48,DT,196," 16,748,933 ",57296,939509,"$845,558,100 ","$634,168,575 ","$338,223,240 "
1,"New York, NY",67993,WTBY-TV,27,DT,195," 10,979,519 ",46271,758732,"$682,858,800 ","$512,144,100 ","$273,143,520 "
1,"New York, NY",70158,WVVH-CD,50,DC,64," 69,418 ",2108,34563,"$31,106,700 ","$23,330,025 ","$12,442,680 "
1,"New York, NY",74197,WWOR-TV,38,DT,155," 19,628,557 ",55158,904460,"$814,014,000 ","$610,510,500 ","$325,605,600 "
1,"New York, NY",74215,WXTV-DT,40,DT,165," 19,476,238 ",56688,929552,"$836,596,800 ","$627,447,600 ","$334,638,720 "
1,"New York, NY",70493,WZME,42,DT,191," 5,605,697 ",32721,536551,"$482,895,900 ","$362,171,925 ","$193,158,360 "
2,"Los Angeles, CA",282,KABC-TV,7,DT,69," 17,192,954 ",34443,564780,"$304,981,200 ","$177,905,700 ",NA
2,"Los Angeles, CA",29234,KAZA-TV,47,DT,92," 15,459,782 ",37713,618408,"$556,567,200 ","$417,425,400 ","$222,626,880 "
2,"Los Angeles, CA",56384,KBEH,24,DT,102," 17,110,735 ",41777,685036,"$616,532,400 ","$462,399,300 ","$246,612,960 "
2,"Los Angeles, CA",21422,KCAL-TV,9,DT,67," 17,059,630 ",33808,554372,"$299,360,880 ","$174,627,180 ",NA
2,"Los Angeles, CA",9628,KCBS-TV,43,DT,86," 15,806,958 ",36870,604578,"$544,120,200 ","$408,090,150 ","$217,648,080 "
2,"Los Angeles, CA",13058,KCET,28,DT,74," 15,000,797 ",33318,546326,"$491,693,400 ","$368,770,050 ","$196,677,360 "
2,"Los Angeles, CA",33742,KCOP-TV,13,DT,81," 17,506,070 ",37656,617470,"$333,433,800 ","$194,503,050 ",NA
2,"Los Angeles, CA",24518,KDOC-TV,32,DT,84," 15,863,765 ",36504,598580,"$538,722,000 ","$404,041,500 ","$215,488,800 "
2,"Los Angeles, CA",60549,KFTR-DT,29,DT,94," 16,031,062 ",38819,636538,"$572,884,200 ","$429,663,150 ","$229,153,680 "
2,"Los Angeles, CA",60026,KHTV-CD,27,DC,91," 10,548,248 ",30982,508031,"$457,227,900 ","$342,920,925 ","$182,891,160 "
2,"Los Angeles, CA",63865,KILM,44,DT,114," 15,423,581 ",41932,687582,"$618,823,800 ","$464,117,850 ","$247,529,520 "
