facility_id,off_air_option,lvhf_option,hvhf_option
191822,Preferred,Selected,Selected
191793,Preferred,Selected,Selected
191340,Preferred,Selected,Selected
191262,Preferred,Selected,Selected
191101,Preferred,Selected,Selected
190156,Preferred,Selected,Selected
189735,Preferred,Selected,Selected
189358,Preferred,,
189357,Preferred,,
189058,Preferred,Selected,Selected
168834,Preferred,Selected,Selected
168812,Preferred,Selected,Selected
168750,Preferred,Selected,Selected
168495,Preferred,Selected,Selected
168478,Preferred,Selected,Selected
168471,Preferred,Selected,Selected
168452,Preferred,Selected,Selected
168449,Preferred,Selected,Selected
168419,Fallback,Selected,Preferred
168414,Preferred,Selected,Selected
168338,Preferred,Selected,Selected
168239,Preferred,Selected,Selected
168237,Preferred,Selected,Selected
168219,Preferred,Selected,Selected
168154,Preferred,Selected,Selected
168101,Preferred,Selected,Selected
168095,Preferred,Selected,Selected
168094,Preferred,,
168014,Preferred,Selected,Selected
167948,Fallback,Preferred,Selected
167892,Preferred,Selected,Selected
167844,Preferred,Selected,Selected
167838,Preferred,Selected,Selected
167765,Preferred,Selected,
167588,Preferred,,
167543,Preferred,Selected,Selected
167309,Preferred,Selected,Selected
167158,Preferred,Selected,Selected
166546,Preferred,Selected,
166512,Preferred,Selected,Selected
166510,Preferred,,
166331,Preferred,Selected,Selected
166319,Preferred,Selected,Selected
136751,Preferred,Selected,
136750,Preferred,,
136749,Preferred,,
89714,Preferred,,
86534,Preferred,Selected,Selected
86496,Preferred,Selected,Selected
84802,Preferred,Selected,Selected
84253,Preferred,Selected,Selected
84225,Preferred,Selected,Selected
84214,Preferred,Selected,Selected
83992,Preferred,,
83969,Selected,,Preferred
83946,Selected,Selected,Preferred
83945,Fallback,Fallback,Preferred
83931,Preferred,Selected,
83929,Preferred,Selected,Selected
83913,Preferred,Selected,Selected
83740,Preferred,Selected,Selected
83180,Preferred,,
82619,Preferred,,
82574,Preferred,,
82476,Preferred,Selected,Selected
81946,Preferred,,
81750,Selected,Selected,Preferred
81692,Preferred,Selected,Selected
81669,Preferred,Selected,Selected
81594,Preferred,Selected,Selected
81593,Preferred,Selected,Selected
81509,Preferred,Selected,Selected
81508,Preferred,Selected,Selected
81503,Preferred,Selected,
81451,Preferred,Selected,Selected
78915,Preferred,,
78908,,Preferred,Fallback
78322,Preferred,Selected,Selected
78314,Preferred,Selected,Selected
77678,Preferred,Selected,Selected
77677,Preferred,Selected,Selected
77676,Preferred,Selected,Selected
77515,Preferred,Selected,Selected
77512,Preferred,Selected,Selected
77483,Preferred,Selected,Selected
77480,Fallback,Preferred,Fallback
77451,Preferred,Selected,Selected
76324,Preferred,Selected,
76001,Preferred,,
74559,Preferred,Selected,Selected
74464,Preferred,Selected,Selected
74449,Preferred,Selected,
74422,Preferred,Selected,Selected
74420,Preferred,Selected,Selected
74419,Preferred,Selected,Selected
74216,Preferred,Selected,Selected
74215,Preferred,Selected,Selected
74214,Preferred,Selected,Selected
74197,Preferred,Selected,Selected
74192,Selected,Selected,Preferred
74176,,,Preferred
74156,Preferred,Selected,Selected
74138,Preferred,Selected,Selected
74122,Selected,Preferred,
74112,Selected,Selected,Preferred
74094,Preferred,Selected,Selected
74091,Preferred,Selected,Selected
74034,,Preferred,Fallback
74007,Preferred,Selected,Selected
73999,Preferred,Selected,Selected
73998,Preferred,Selected,Selected
73982,Preferred,Selected,Selected
73901,Preferred,Selected,
73875,Preferred,Selected,Selected
73764,Preferred,,
73706,Preferred,,
73701,Preferred,Selected,Selected
73692,Preferred,Selected,
73642,Preferred,Selected,Selected
73375,Preferred,,
73356,Preferred,Selected,Selected
73344,Preferred,Selected,Selected
73336,Preferred,Selected,Selected
73312,Preferred,Selected,Selected
73288,Preferred,Selected,
73263,Selected,Selected,Preferred
73255,Fallback,Preferred,Selected
73238,Preferred,Selected,Selected
73207,Preferred,Selected,Selected
73206,Preferred,Selected,Selected
73203,,,Preferred
73189,Preferred,Selected,Selected
73155,Preferred,Selected,Selected
73153,Preferred,Selected,Selected
73120,Preferred,Selected,Selected
73101,Preferred,Selected,Selected
72971,Preferred,Selected,Selected
72945,Preferred,,
72871,Preferred,,Selected
72618,Preferred,Selected,Selected
72342,Preferred,Selected,Selected
72335,Preferred,,
72278,Preferred,Selected,Selected
72207,Preferred,Selected,Selected
72119,Preferred,Selected,Selected
72106,Preferred,Selected,Selected
72099,Preferred,Selected,Selected
72098,Selected,Selected,Preferred
72096,,Fallback,Preferred
72064,Preferred,Selected,Selected
72062,Preferred,Selected,Selected
72052,Preferred,,
71905,Selected,Selected,Preferred
71871,Preferred,Selected,Selected
71861,,,Preferred
71725,Preferred,Selected,
71680,,Preferred,
71676,,Preferred,Fallback
71657,,Preferred,Fallback
71586,Preferred,Selected,Selected
71580,Selected,Selected,Preferred
71561,,Fallback,Preferred
71508,Preferred,Selected,Selected
71428,Preferred,Selected,Selected
71425,Preferred,Selected,Selected
71336,Preferred,Selected,
71325,Preferred,,
71280,Preferred,Selected,Selected
71278,Preferred,Selected,Selected
71238,Preferred,Selected,Selected
71236,Preferred,Selected,Selected
71221,Selected,,Preferred
71130,Preferred,Selected,Selected
71121,Preferred,Selected,Selected
71119,Preferred,Selected,Selected
71111,Preferred,Selected,Selected
71089,Preferred,Selected,Selected
71085,Preferred,Selected,Selected
71079,Preferred,Selected,Selected
71078,Preferred,Selected,Selected
71074,Preferred,Selected,Selected
71070,Preferred,Selected,Selected
71069,Preferred,Selected,Selected
70900,Preferred,Selected,Selected
70865,Preferred,Selected,Selected
70852,Preferred,Selected,Selected
70699,Preferred,Selected,Selected
70537,Fallback,Fallback,Preferred
70536,,Fallback,Preferred
70493,Preferred,Selected,Selected
70492,Preferred,Selected,Selected
70491,Preferred,Selected,Selected
70428,Preferred,Selected,Selected
70426,Preferred,Selected,Selected
70423,Preferred,Selected,Selected
70420,Preferred,Selected,Selected
70419,Preferred,Selected,Selected
70417,Preferred,,
70416,Preferred,Selected,Selected
70415,Preferred,Selected,Selected
70414,Preferred,Selected,Selected
70412,Preferred,,
70309,Preferred,Selected,Selected
70251,Preferred,Selected,Selected
70184,Preferred,Selected,Selected
70161,Preferred,,
70158,Preferred,Selected,Selected
70149,Preferred,Selected,Selected
70138,Preferred,Selected,Selected
70119,Preferred,Selected,Selected
70097,Preferred,,Selected
69993,Preferred,Selected,
69944,,Preferred,
69943,Preferred,,
69880,Preferred,Selected,
69753,Preferred,Selected,Selected
69735,Preferred,Selected,Selected
69694,Preferred,Selected,
69692,Preferred,Selected,Selected
69619,Preferred,Selected,Selected
69618,Preferred,Selected,Selected
69571,Preferred,Selected,Selected
69531,Preferred,Selected,Selected
69447,Preferred,Selected,Selected
69446,Fallback,Preferred,Selected
69338,Preferred,Selected,Selected
69273,Preferred,Selected,Selected
69271,Preferred,Selected,Selected
69170,Preferred,Selected,
68911,Preferred,,
68910,Preferred,Selected,Selected
68905,Preferred,Selected,Selected
68886,Preferred,Selected,Selected
68853,Preferred,Selected,
68851,Preferred,Selected,
68834,Preferred,Selected,Selected
68695,Preferred,Selected,Selected
68666,Preferred,Selected,Selected
68594,Preferred,,Selected
68581,Preferred,Selected,Selected
68549,Preferred,Selected,Selected
68547,Preferred,,
68545,Preferred,Selected,Selected
68542,Selected,,Preferred
68541,Preferred,,
68538,Preferred,,Selected
68519,Preferred,,
68444,Preferred,Selected,Selected
68427,Preferred,,
68409,Preferred,Selected,Selected
68408,Preferred,Selected,Selected
68407,Preferred,Selected,Selected
68406,Fallback,Fallback,Preferred
68405,Preferred,Selected,Selected
68403,Preferred,Selected,Selected
68401,Preferred,Selected,Selected
68400,Preferred,Selected,Selected
68396,Preferred,Selected,Selected
68395,Preferred,Selected,Selected
68394,Preferred,Selected,Selected
68393,Preferred,Selected,Selected
68143,Preferred,Selected,
68137,Preferred,Selected,Selected
68136,Preferred,Selected,Selected
68135,Preferred,Selected,Selected
68058,Preferred,,
68007,Preferred,,
67999,Preferred,,
67993,Preferred,,
67971,Preferred,,
67950,Preferred,,
67910,Preferred,,
67895,Preferred,Selected,Selected
67893,Preferred,,
67884,Preferred,,
67869,Preferred,,
67868,Preferred,,
67866,Preferred,Selected,Selected
67802,Preferred,Selected,
67798,Preferred,Selected,Selected
67792,Preferred,Selected,Selected
67787,Preferred,Selected,
67786,Preferred,Selected,Selected
67784,Preferred,Selected,Selected
67781,Preferred,Selected,Selected
67602,Preferred,Selected,Selected
67494,Preferred,Selected,
67485,Preferred,Selected,Selected
67347,Preferred,Selected,Selected
67190,,Fallback,Preferred
67077,Preferred,Selected,Selected
67048,,Preferred,
67022,Preferred,Selected,Selected
67020,Preferred,Selected,Selected
67013,Preferred,Selected,Selected
67002,Preferred,Selected,Selected
67001,Preferred,Selected,Selected
67000,Preferred,Selected,Selected
66996,Preferred,Selected,Selected
66983,Preferred,Selected,Selected
66804,Fallback,Preferred,Selected
66790,Preferred,Selected,Selected
66549,Preferred,Selected,Selected
66536,Fallback,,Preferred
66378,Preferred,,
66321,Preferred,Selected,Selected
66285,Preferred,Selected,Selected
66219,,,Preferred
66190,Preferred,,
66185,,Fallback,Preferred
66172,Fallback,Preferred,
65919,Selected,Selected,Preferred
65680,Preferred,Selected,Selected
65667,Preferred,Selected,Selected
65666,Preferred,,
65526,Preferred,Selected,Selected
65395,Preferred,Selected,Selected
65387,Preferred,Selected,Selected
65204,,,Preferred
65143,,,Preferred
65130,Preferred,Selected,Selected
65128,Preferred,Selected,Selected
65074,Preferred,Selected,Selected
64974,Preferred,Selected,Selected
64971,Preferred,Selected,Selected
64865,Preferred,Selected,Selected
64864,Preferred,Selected,
64833,Preferred,Selected,Selected
64690,Preferred,Selected,Selected
64611,Preferred,Selected,Selected
64547,Selected,Selected,Preferred
64545,Preferred,Selected,Selected
64444,Preferred,Selected,Selected
64352,Preferred,Selected,Selected
64338,Preferred,Selected,Selected
64048,,Preferred,
63901,Preferred,Selected,Selected
63867,Selected,Preferred,Fallback
63865,Preferred,,
63557,Preferred,Selected,Selected
63329,Preferred,Selected,Selected
63164,Preferred,Selected,Selected
63158,Preferred,Selected,Selected
62272,Preferred,Selected,
62219,Preferred,Selected,Selected
62210,Preferred,Selected,
62207,Preferred,Selected,Selected
62009,Preferred,,
61702,Preferred,Selected,Selected
61573,Preferred,Selected,Selected
61504,Preferred,,
61350,,Preferred,
61251,Preferred,Selected,Selected
61217,Preferred,Selected,Selected
61216,Preferred,Selected,Selected
61173,Preferred,Selected,Selected
61111,Preferred,Selected,Selected
61084,Preferred,Selected,Selected
61026,Preferred,Selected,Selected
61012,Preferred,,
61011,Preferred,,
60888,Preferred,,
60850,Selected,Preferred,
60830,Preferred,,
60829,Preferred,,
60827,Preferred,,
60825,Preferred,,
60820,Preferred,,
60736,Preferred,Selected,
60683,Fallback,Preferred,
60654,Preferred,Selected,Selected
60639,Preferred,Selected,Selected
60637,Preferred,Selected,Selected
60571,Preferred,,
60560,Preferred,Selected,Selected
60556,Preferred,Selected,Selected
60555,Preferred,Selected,Selected
60553,Preferred,,
60552,Preferred,,
60549,Preferred,Selected,Selected
60539,Preferred,Selected,Selected
60464,Preferred,,
60384,Preferred,,
60357,Preferred,Selected,Selected
60165,Preferred,Selected,Selected
60111,Preferred,Selected,
60026,Preferred,Selected,Selected
60018,Preferred,Selected,Selected
59852,,Fallback,Preferred
59442,Preferred,Selected,Selected
59281,Fallback,Preferred,
59013,Preferred,Selected,Selected
58978,Preferred,Selected,Selected
58927,Preferred,Selected,Selected
58912,Preferred,,
58835,Preferred,Selected,Selected
58795,,Preferred,Fallback
58739,Preferred,Selected,Selected
58725,Preferred,Selected,Selected
58616,Preferred,Selected,Selected
58605,Preferred,,Selected
58342,Preferred,Selected,Selected
58341,Preferred,Selected,Selected
58340,Preferred,Selected,Selected
58267,Preferred,Selected,Selected
58261,Preferred,Selected,Selected
57945,Preferred,Selected,Selected
57908,Preferred,Selected,Selected
57907,Preferred,Selected,Selected
57905,Preferred,Selected,Selected
57884,Preferred,Selected,Selected
57545,Preferred,Selected,Selected
57538,Preferred,,
57457,Preferred,Selected,Selected
57456,Preferred,Selected,Selected
57431,Fallback,Preferred,Fallback
57292,Preferred,Selected,Selected
57274,Preferred,,
57221,Preferred,,
56852,Preferred,Selected,Selected
56523,Preferred,Selected,Selected
56384,Preferred,Selected,Selected
56092,Selected,Preferred,Fallback
56079,Preferred,Selected,Selected
56034,Preferred,,
55644,Preferred,Selected,Selected
55643,Preferred,,
55350,Preferred,Selected,Selected
55315,Preferred,,
55305,Preferred,Selected,Selected
55108,Preferred,Selected,Selected
55106,Preferred,Selected,Selected
55083,Preferred,Selected,Selected
54983,Preferred,Selected,Selected
54963,Preferred,Selected,Selected
54940,Preferred,Selected,Selected
54938,Preferred,,
54728,Preferred,Selected,Selected
54452,Preferred,Selected,Selected
54443,Preferred,Selected,Selected
54414,Preferred,Selected,Selected
54385,Selected,Preferred,
54176,Preferred,Selected,Selected
54011,Preferred,Selected,Selected
53863,Preferred,Selected,Selected
53859,Fallback,Preferred,Fallback
53820,Preferred,,Selected
53819,Preferred,Selected,Selected
53716,,,Preferred
53586,Preferred,Selected,Selected
53517,Selected,Preferred,Fallback
53465,Preferred,Selected,Selected
53382,Preferred,,
53065,Preferred,Selected,Selected
53004,Preferred,Selected,Selected
52953,Preferred,Selected,Selected
52907,Preferred,Selected,Selected
52891,Preferred,Selected,Selected
52888,Preferred,Selected,Selected
52887,Preferred,Selected,Selected
52628,Preferred,Selected,Selected
52579,Preferred,Selected,Selected
52527,Preferred,Selected,
52432,Preferred,Selected,Selected
52430,Preferred,Selected,Selected
52426,Preferred,Selected,Selected
52425,Preferred,Selected,Selected
