auction_id,call_sign,facility_id,dma,bidder_as_of_closing_pn,frn_as_of_closing_pn,pre_auction_band,winning_bid_option,compensation,pre_auction_csa_flag,post_auction_csa_flag
1001,WCDC-TV,74419,"Albany-Schenectady-Troy, NY","NEXSTAR BROADCASTING, INC.",0009961889,UHF,Go off-air,34558086,No,Yes
1001,WAGT,70699,"Augusta, GA","Gray Television Licensee, LLC",0003748241,UHF,Go off-air,40763036,No,No
1001,WUTB,60552,"Baltimore, MD","Deerfield Media (Baltimore) Licensee, LLC",0022739833,UHF,Go off-air,122912964,Yes,Yes
1001,WBIN-TV,14682,"Boston, MA","WBIN, Inc.",0020871042,UHF,Go off-air,68081337,Yes,Yes
1001,WDPX-TV,6476,"Boston, MA","ION Media Boston License, Inc.",0003720208,UHF,Go off-air,43467644,No,Yes
1001,WFXZ-CD,64833,"Boston, MA","WFXZ-CD Station, LLC",0021355565,UHF,Go off-air,63949770,No,Yes
1001,WGBH-TV,72099,"Boston, MA",WGBH Educational Foundation,0003764560,UHF,Move to Low-VHF,161723929,No,Yes
1001,WLVI,73238,"Boston, MA",WHDH-TV,0003613825,UHF,Go off-air,162108481,Yes,Yes
1001,WMFP,41436,"Boston, MA","NRJ TV Boston License Co, LLC",0020523098,UHF,Go off-air,93647708,No,Yes
1001,WYCN-CD,9766,"Boston, MA","OTA Broadcasting (BOS), LLC",0022430631,UHF,Go off-air,80401978,No,Yes
1001,WYDN,18783,"Boston, MA",Educational Public TV Corporation,0008778565,UHF,Go off-air,134987151,No,Yes
1001,WIVB-TV,7780,"Buffalo, NY","NEXSTAR BROADCASTING, INC.",0009961889,UHF,Go off-air,46015135,Yes,Yes
1001,WNYB,30303,"Buffalo, NY","Faith Broadcasting Network, Inc.",0007202963,UHF,Move to Low-VHF,31960949,No,Yes
1001,WVTT-CD,10869,"Buffalo, NY","Woodland Communications, LLC",0024819252,UHF,Move to High-VHF,9119631,No,Yes
1001,WNNE,73344,"Burlington, VT-Plattsburgh, NY",Hearst Stations Inc.,0001587583,UHF,Go off-air,50464592,No,Yes
1001,WVTA,69943,"Burlington, VT-Plattsburgh, NY","Vermont ETV, Inc.",0005067830,UHF,Go off-air,56648952,Yes,No
1001,WPBO,66190,"Charleston-Huntington, WV",THE OHIO STATE UNIVERSITY,0006031983,UHF,Go off-air,8822670,No,No
1001,WTSF,67798,"Charleston-Huntington, WV","Tri State Family Broadcasting, Inc",0002011948,UHF,Move to High-VHF,5540044,No,Yes
1001,WLNN-CD,60888,"Charlotte, NC",Carolina Rays LLC,0018324095,UHF,Go off-air,21321125,No,Yes
1001,WMYT-TV,20624,"Charlotte, NC","Fox Television Stations, LLC",0005795067,UHF,Go off-air,74739363,No,Yes
1001,WTBL-CD,54983,"Charlotte, NC","OTA Broadcasting (CLT), LLC",0021349188,UHF,Go off-air,8193916,No,Yes
1001,WVIR-TV,70309,"Charlottesville, VA",VIRGINIA BROADCASTING LLC,0005004528,UHF,Move to Low-VHF,46399285,No,Yes
1001,WNGH-TV,23942,"Chattanooga, TN",GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION,0001844976,UHF,Move to Low-VHF,11949966,No,No
1001,WTNB-CD,49240,"Chattanooga, TN",PTP Holdings LLC,0018503664,UHF,Move to Low-VHF,370099,No,No
1001,WOCH-CD,35101,"Chicago, IL","NRJ TV Chicago License Co., LLC",0022029987,UHF,Go off-air,9219110,No,Yes
1001,WPWR-TV,48772,"Chicago, IL","Fox Television Stations, LLC",0005795067,UHF,Go off-air,160748259,No,Yes
1001,WSNS-TV,70119,"Chicago, IL",NBC Telemundo License LLC,0019509470,UHF,Go off-air,141658837,Yes,Yes
1001,WWTO-TV,998,"Chicago, IL","Trinity Christian Center of Santa Ana, Inc.",0003791712,High-VHF,Go off-air,304250040,Yes,Yes
1001,WXFT-DT,60539,"Chicago, IL",UniMas Chicago LLC,0003770898,UHF,Go off-air,126107725,Yes,Yes
1001,WYCC,12279,"Chicago, IL","BD TRUSTEES COMM COLLEGE DIST # 508, CTY COOK, IL",0006754626,UHF,Go off-air,15959957,No,Yes
1001,WOTH-CD,168414,"Cincinnati, OH","Block, Elliott B",0003754710,UHF,Go off-air,13266948,No,Yes
1001,WAOH-CD,41070,"Cleveland-Akron, OH","Media-Com Television, Inc.",0002931756,UHF,Go off-air,1779772,No,No
1001,WDLI-TV,67893,"Cleveland-Akron, OH","Trinity Christian Center of Santa Ana, Inc.",0003791712,UHF,Go off-air,31621996,No,Yes
