FacID,Volume
1328,1068381
9610,975017
168834,348647
67866,318641
13594,255675
30429,35149
60553,240299
60555,930814
86537,1006366
38336,668509
73206,278594
43952,887620
14322,474377
73207,352784
47535,978881
18795,969593
48457,728487
48477,849746
73333,1000000
6048,895158
20818,673335
22206,936881
73881,959264
73356,907708
74156,806118
67993,528438
70158,3341
74197,944712
74215,937381
70493,269799
282,827488
29234,744071
56384,823531
21422,821071
9628,760781
13058,721981
33742,842558
24518,763515
60549,771567
60026,507682
63865,742329
14000,780208
38430,756236
35123,752864
47906,785349
3167,468498
167309,632953
4328,783255
58978,725980
22161,776501
35608,760919
191101,567985
36717,79619
67884,766931
35670,802441
22208,842435
58795,690793
19783,793343
16729,176376
83825,1054
26231,744575
55083,776700
71111,28916
9617,477289
71428,473587
10981,461389
66978,264566
22211,477741
12498,467427
72115,472564
32334,461439
189058,264062
73226,489272
47905,476126
168662,396651
35101,283104
35092,329872
168237,328443
48772,483708
70119,473036
10802,467638
71425,387670
998,300652
60539,460078
12279,446223
49803,334355
1283,531539
25453,517509
189358,437313
60850,442590
63153,495286
72335,28149
39884,362438
74216,162848
7623,359553
72338,469269
36989,246553
9739,256841
61111,37854
48481,344306
48465,435493
72278,189946
73879,491727
74464,171869
51984,345645
12499,446351
167543,100518
8616,638190
191822,30111
191340,213008
55305,310799
51568,406342
60560,407979
23142,342908
28480,430837
26950,223260
17433,324514
22201,319831
17037,317476
33770,320375
49326,315947
67910,316356
49324,321399
29015,314008
16930,250919
73701,320820
68834,317380
60534,318358
23422,332504
51517,329608
42359,314286
5319,43943
35841,321377
49330,322572
35994,323046
72054,328633
37689,172513
69619,316576
71586,323354
58912,316140
18148,25551
33778,316422
34440,159631
70900,212990
51429,305678
52887,195267
34470,330429
34564,326999
22644,316988
43095,318950
35280,343603
51189,328497
25452,360140
35500,332605
35663,316743
8378,6833
57945,215137
65526,328769
64987,302190
49153,267601
21533,443470
37511,311932
35703,328538
57907,41073
57905,24383
168449,14357
51567,374389
30576,390233
65670,357851
69532,390044
40626,151419
25045,79276
27772,365755
10259,44573
1051,412227
189357,296225
38437,175173
9999,349813
10019,258911
74091,384487
47904,382909
22207,382411
65593,406927
65943,76491
23264,129823
50347,162981
14682,192939
7692,314015
25456,361849
65684,358881
6476,52049
69271,24156
69237,207119
6463,337982
64833,159780
72099,363751
72098,352885
72145,342417
73238,342343
41436,326104
73292,234001
51864,154692
48406,116692
73982,339010
30577,359036
60551,339787
23671,260037
9766,143923
18783,294224
70689,282628
168812,220074
13206,268533
22819,274922
711,155173
72120,285678
63329,49301
23948,279597
68058,278888
55108,144499
35418,120325
4190,229899
64033,281738
51969,307394
23960,279877
35090,129823
6900,282170
48813,277777
51163,287493
168094,168044
12895,292971
60537,292371
34529,294206
23394,291362
24436,290399
53117,293490
58835,292674
22204,292403
28324,292416
64984,292266
35675,293499
51569,293149
70492,291689
66790,243342
69269,295138
13200,205814
53847,292504
31870,292202
69531,288602
55106,99402
11125,196910
21808,244802
64592,256633
64588,242544
60559,203325
53819,253359
74559,116534
11559,133502
74112,227878
11290,243935
4108,237652
68569,243853
69338,230281
16788,216608
61251,140259
57538,88351
6601,215844
63901,9342
2130,20419
2728,201342
7143,199840
72618,183940
35811,16523
83491,1275
2739,186880
41517,13586
30932,2655
24753,8858
24749,10910
59440,200836
67868,201002
73764,182266
41223,200947
35486,201384
26655,200638
35587,201194
81458,200023
40993,200824
29464,4279
35705,200182
68886,200988
25722,114864
455,221329
53114,256412
68444,205005
73123,268598
51570,239718
168471,77484
74211,261380
5800,247066
16817,265244
72123,245091
10267,268055
53586,57466
62469,174353
62468,32554
33894,207614
33749,198087
49264,178794
34847,193399
66781,193081
21656,196180
35396,191839
23428,201478
67950,197979
4624,192677
35862,93051
35419,198217
56852,198043
69571,198506
67002,133343
23079,187047
49579,8991
49578,6339
9632,25445
9640,13070
83714,2981
68883,181474
35907,173487
35585,4119
35584,17164
35843,182308
28010,181925
68594,176859
68597,172909
71549,11478
9629,184300
11913,181488
18793,44710
36395,176019
60536,260233
12497,257474
4352,1558
9425,198246
47902,259815
27387,2071
67971,260737
4366,139469
60165,135806
9614,208391
66358,262180
73230,261218
13456,261927
53113,268150
30129,112896
48608,241386
29547,192183
72053,2067
64971,263048
10203,255869
63840,268984
63154,262613
23179,284
22685,177612
63158,127648
24514,155542
47903,169424
38375,161281
126,163388
37101,147196
125,37962
40875,165828
166510,162195
68695,162084
18287,152237
29455,95770
70578,4613
14040,173246
20476,134931
20373,1618
47971,1819
168750,118763
57219,175202
47996,4344
68581,170623
23074,166568
35883,168320
10032,6105
41074,82731
41070,38784
72958,174550
67893,186590
49421,172650
59441,194538
11027,91439
73150,186201
73195,196146
41893,57075
41892,13277
39746,174086
60556,182282
43870,174902
8532,172650
18753,174125
70491,197520
60018,190314
12171,161930
41375,24037
6744,162237
25738,189812
72076,184528
10521,92783
24582,184117
53465,193970
61702,26062
71293,181114
71238,21700
41225,189147
67602,175766
5802,172495
54940,189196
10549,87614
55454,188419
9881,190281
10073,86975
12855,181420
131,157691
70415,26588
334,17435
4939,60753
2424,80260
33875,276397
52891,84231
51499,332773
18736,87253
56550,321450
10242,264993
52953,236776
20871,239618
10205,252832
58609,192840
35855,351261
25048,359594
190156,73768
56524,143493
9375,93575
62182,137253
70034,145785
48525,141493
35417,142694
46981,143212
35693,143181
66983,9991
66996,6084
37238,4487
40861,134400
57221,131611
67022,30601
12793,125551
30826,204583
49157,160516
32326,176353
70097,67101
65919,133258
73152,188290
60888,17272
20624,163394
61009,99293
74070,155599
54983,20113
10645,130311
69114,70584
69124,151417
25454,166258
259,86081
68395,83329
68396,60168
68405,96458
40619,12804
41314,131679
68393,17065
68407,5956
68401,5811
68394,18710
7622,84975
13924,122004
68400,57661
69880,152972
73875,143598
73907,139819
73910,150318
41315,145236
269,49414
65681,133810
68408,13759
257,9843
68409,17884
267,20478
167799,8164
21649,136932
34874,133570
71078,104636
47707,133974
35380,137253
50589,138028
71079,107242
71069,109696
71070,16300
71074,105551
71080,103623
35460,135701
50633,135520
5801,137658
10192,136515
56971,680
50592,2555
81447,2099
71089,50342
64400,1275
21245,51794
22485,17350
168101,12370
73205,169308
50782,154022
8688,175046
10133,128892
64611,173159
54963,168417
20590,106727
8617,182342
70423,21929
69080,191300
69397,42667
16517,168627
40211,1690
41095,57452
65696,421479
10758,376718
25455,410904
59442,433843
191262,53117
65944,288205
65942,372451
7933,414280
60552,328831
34894,28554
70161,85794
70416,45659
68007,121263
28199,74879
7908,99967
41397,114845
37102,135423
167765,63992
3646,94341
10253,109060
39269,133016
29292,5654
28462,118372
40877,139115
70162,140985
66536,54270
