,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
0,1,"New York, NY",1328,WABC-TV,7,DT,206,22198046.0,67622,1108843,598775220.0,"$349,285,545 ",,HVHF
1,1,"New York, NY",9610,WCBS-TV,33,DT,179,20258210.0,60218,987430,888687000.0,"$666,515,250 ","$355,474,800 ",UHF
2,1,"New York, NY",168834,WDVB-CD,23,DC,112,7243939.0,28484,467063,420356700.0,"$315,267,525 ","$168,142,680 ",UHF
3,1,"New York, NY",67866,WEBR-CD,49,DC,98,6620511.0,25472,417675,375907500.0,"$281,930,625 ","$150,363,000 ",UHF
4,1,"New York, NY",13594,WEDW,49,DT,173,5312240.0,30315,497097,447387300.0,"$335,540,475 ","$178,954,920 ",UHF
5,1,"New York, NY",30429,WEPT-CD,22,DC,105,730310.0,8757,143591,129231900.0,"$96,923,925 ","$51,692,760 ",UHF
6,1,"New York, NY",60553,WFTY-DT,23,DT,176,4992764.0,29643,486078,437470200.0,"$328,102,650 ","$174,988,080 ",UHF
7,1,"New York, NY",60555,WFUT-DT,30,DT,149,19339795.0,53681,880234,792210600.0,"$594,157,950 ","$316,884,240 ",UHF
8,1,"New York, NY",86537,WJLP,3,DT,149,20909552.0,55817,915261,205933725.0,,,LVHF
9,1,"New York, NY",38336,WLIW,21,DT,149,13889803.0,45493,745968,671371200.0,"$503,528,400 ","$268,548,480 ",UHF
10,1,"New York, NY",73206,WLNY-TV,47,DT,185,5788434.0,32724,536594,482934600.0,"$362,200,950 ","$193,173,840 ",UHF
11,1,"New York, NY",43952,WMBC-TV,18,DT,160,18442327.0,54321,890732,801658800.0,"$601,244,100 ","$320,663,520 ",UHF
12,1,"New York, NY",14322,WMBQ-CD,46,DC,92,9856262.0,30113,493775,444397500.0,"$333,298,125 ","$177,759,000 ",UHF
