FacID,Volume
1328,1108843
9610,987430
168834,467063
67866,417675
13594,497097
30429,143591
60553,486078
60555,880234
86537,915261
38336,745968
73206,536594
43952,890732
14322,493775
73207,404452
47535,949906
18795,816246
48457,874709
48477,860559
73333,1000000
6048,854476
20818,693896
22206,920817
73881,801924
73356,818151
74156,939509
67993,758732
70158,34563
74197,904460
74215,929552
70493,536551
282,564780
29234,618408
56384,685036
21422,554372
9628,604578
13058,546326
33742,617470
24518,598580
60549,636538
60026,508031
63865,687582
14000,633247
38430,609738
35123,587271
47906,672239
3167,482639
167309,444993
4328,644744
58978,646331
22161,631740
35608,648725
191101,574459
36717,189812
67884,620973
35670,645686
22208,609755
58795,697321
19783,655677
16729,279002
83825,2427
26231,576863
55083,628378
71111,129616
9617,608796
71428,615094
10981,525169
66978,372739
22211,628494
12498,608941
72115,643804
32334,505182
189058,393570
73226,701431
47905,605863
168662,413070
35101,432004
35092,439887
168237,455348
48772,677782
70119,597293
10802,571457
71425,418839
998,563426
60539,531723
12279,526031
49803,477373
1283,710503
25453,777331
189358,646350
60850,701457
63153,721241
72335,116295
39884,623507
74216,330412
7623,516870
72338,639510
36989,540377
9739,428559
61111,154587
48481,559938
48465,645004
72278,352357
73879,735646
74464,316001
51984,495212
12499,643378
167543,201078
8616,901605
191822,117448
191340,360151
55305,538483
51568,581584
60560,584707
23142,558800
28480,614724
26950,295480
17433,368741
22201,330141
17037,312328
33770,338449
49326,311575
67910,314598
49324,333651
29015,287140
16930,299524
73701,327929
68834,312280
60534,309905
23422,392655
51517,383811
42359,316354
5319,112985
35841,333639
49330,357698
35994,357961
72054,363577
37689,291224
69619,389997
71586,414262
58912,413904
18148,86980
33778,513216
34440,336539
70900,286535
51429,387656
52887,282195
34470,379455
34564,491059
22644,453236
43095,454636
35280,510942
51189,457395
25452,499483
35500,443804
35663,494159
8378,42358
57945,392226
65526,439151
64987,468474
49153,411014
21533,591038
37511,466723
35703,465380
57907,153735
57905,84164
168449,80106
51567,527426
30576,569940
65670,503879
69532,558211
40626,344135
25045,269505
27772,511415
10259,197095
1051,573865
189357,514571
38437,334010
9999,553913
10019,441892
74091,540486
47904,549201
22207,566089
65593,566163
65943,295976
23264,323171
50347,309198
14682,334812
7692,466402
25456,526257
65684,524094
6476,192924
69271,132454
69237,377256
6463,493532
64833,298769
72099,527638
72098,502337
72145,504402
73238,502448
41436,484782
73292,386043
51864,336468
48406,265342
73982,476728
30577,600868
60551,504347
23671,394261
9766,322058
18783,440407
70689,442478
168812,319446
13206,441616
22819,397738
711,412202
72120,453740
63329,175635
23948,427497
68058,421446
55108,258849
35418,236207
4190,352962
64033,432783
51969,530693
23960,442092
35090,256904
6900,434931
48813,413160
51163,479242
168094,265349
12895,310751
60537,299725
34529,321788
23394,293716
24436,273181
53117,326458
58835,299880
22204,302454
28324,305149
64984,291383
35675,323942
51569,316070
70492,299375
66790,299539
69269,332372
13200,246859
53847,302506
31870,299638
69531,292322
55106,205437
11125,333326
21808,406794
64592,435028
64588,422918
60559,348627
53819,440355
74559,222437
11559,239642
74112,382626
11290,406073
4108,412240
68569,414308
69338,387968
16788,358149
61251,268493
57538,183204
6601,359199
63901,57795
2130,73223
2728,209447
7143,216541
72618,228927
35811,56022
83491,7550
2739,237439
41517,52273
30932,6671
24753,43366
24749,46843
59440,217080
67868,217170
73764,234490
41223,211907
35486,209469
26655,211744
35587,209370
81458,211419
40993,211842
29464,18938
35705,211503
68886,217162
25722,226575
455,463839
53114,510597
68444,397554
73123,458341
51570,445200
168471,192944
74211,509824
5800,447367
16817,533393
72123,492294
10267,536212
53586,240390
62469,272079
62468,137529
33894,247936
33749,202350
49264,277330
34847,284664
66781,290062
21656,290501
35396,271936
23428,225058
67950,289928
4624,272529
35862,311786
35419,299493
56852,289975
69571,305211
67002,200565
23079,276192
49579,44825
49578,37165
9632,97592
9640,61620
83714,24826
68883,252727
35907,264164
35585,29573
35584,75851
35843,255310
28010,255041
68594,230985
68597,221957
71549,59926
9629,270375
11913,270187
18793,143985
36395,246916
60536,305031
12497,310440
4352,7227
9425,297660
47902,311849
27387,6803
67971,302932
4366,254303
60165,249425
9614,323694
66358,303769
73230,303211
13456,303623
53113,339632
30129,223217
48608,286810
29547,305626
72053,8991
64971,318432
10203,302463
63840,346722
63154,322746
23179,1261
22685,295496
63158,241818
24514,262006
47903,257401
38375,252927
126,249137
37101,243326
125,119203
40875,250991
166510,255422
68695,255335
